doi,source,status,chars
10.1145/3254060,-,not_found,0
10.1145/3756884.3770544,-,not_found,0
10.1145/3385378.3385385,s2,ok,959
10.1145/3700297.3700320,s2,ok,1013
10.1145/3757232.3757331,s2,ok,1002
10.1145/3547522.3547711,-,not_found,0
10.1145/3030024.3038285,-,not_found,0
10.1145/3716553.3750826,-,not_found,0
10.1145/3597926.3598134,s2,ok,1869
10.1145/3700297.3700322,s2,ok,1998
10.1145/3409251.3411733,s2,ok,846
10.1145/3613904.3642558,s2,ok,1003
10.1145/3411764.3445503,s2,ok,1120
10.1145/3425329.3425360,-,not_found,0
10.1145/3482632.3483170,s2,ok,666
10.1145/3730436.3730515,s2,ok,1072
10.1145/3746469.3746527,-,not_found,0
10.1145/3789859.3789927,s2,ok,951
10.1145/3171221.3171242,-,not_found,0
10.1145/217306.217314,-,not_found,0
