doi,abstract,source,chars,fetched_at
10.1002/eat.22535,"Objective The transition to college is considered as a risk period for the development of behavioral symptoms of eating disorders (BSEDs) and some evidence suggests that, amongst men, these symptoms occurring on a regular basis remain relatively stable over the college period. Nevertheless, little is known about factors associated with persistent engagement in and initiation of recurrent (or regular) binge eating and inappropriate weight compensatory behaviors in this population. The objective of this report was to address these research gaps. Method Data were examined from 2,555 male first‐year college students who completed an assessment of potential vulnerability factors and BSEDs at the beginning of the autumn semester (baseline) and nine months later (end of the spring semester; follow‐up). Results Elevated negative affectivity, body dissatisfaction, self‐objectification, and lower self‐esteem at baseline were predictive of persistent engagement in regular binge eating and four compensatory behaviors (self‐induced vomiting, laxative/diuretic abuse, fasting, exercise) at follow‐up, as well as initiation of all these behaviors occurring regularly (i.e., at least weekly for 3 months). Self‐objectification (thinking and monitoring the body's outward appearance from a third‐person perspective) emerged as the largest contributor of both the initiation and persistence of all behavioral symptoms. Discussion Data emphasize that the same psychological factors underlie initiation and persistence of recurrent BSEDs and should shape the focus of future interventions for college men. © 2016 Wiley Periodicals, Inc. (Int J Eat Disord 2016; 49:581–590)",crossref,1668,2026-08-17
10.1007/978-3-319-39907-2_5,,notfound,0,2026-08-17
10.1007/978-3-319-58521-5_46,,notfound,0,2026-08-17
10.1007/978-3-319-72323-5_8,,notfound,0,2026-08-17
10.1007/978-3-658-03885-4_13,,notfound,0,2026-08-17
10.1007/s00221-008-1562-y,,notfound,0,2026-08-17
10.1007/s00221-009-2039-3,,notfound,0,2026-08-17
10.1007/s00221-009-2143-4,,notfound,0,2026-08-17
10.1007/s00779-020-01431-1,,notfound,0,2026-08-17
10.1007/s10055-021-00530-5,,notfound,0,2026-08-17
10.1007/s11097-009-9121-y,,notfound,0,2026-08-17
10.1007/s40520-019-01219-1,,notfound,0,2026-08-17
10.1016/j.actpsy.2009.02.003,,notfound,0,2026-08-17
10.1016/j.ajp.2025.104634,,notfound,0,2026-08-17
10.1016/j.apergo.2016.05.003,,notfound,0,2026-08-17
10.1016/j.bandc.2008.05.001,,notfound,0,2026-08-17
10.1016/j.bodyim.2008.04.003,,notfound,0,2026-08-17
10.1016/j.cag.2023.10.001,,notfound,0,2026-08-17
10.1016/j.chc.2022.08.014,"Eating disorders (EDs) are a non-heterogeneous group of illnesses with significant physical and mental comorbidity and mortality associated with maladaptive coping. With the exception of lisdexamfetamine (Vyvanse) for binge eating disorder, no medications have been effective for the core symptoms of ED. ED requires a multimodal approach. Complementary and integrative medicine (CIM) can be helpful as an adjunct. The most promising CIM interventions are traditional yoga, virtual reality, eye movement desensitization and reprocessing, Music Therapy, and biofeedback/neurofeedback.",semantic_scholar,583,2026-08-17
10.1016/j.cognition.2007.12.004,,notfound,0,2026-08-17
10.1016/j.concog.2005.09.004,,notfound,0,2026-08-17
10.1016/j.concog.2007.01.001,,notfound,0,2026-08-17
10.1016/j.concog.2007.05.012,,notfound,0,2026-08-17
10.1016/j.concog.2008.03.004,,notfound,0,2026-08-17
10.1016/j.concog.2008.11.003,,notfound,0,2026-08-17
10.1016/j.concog.2010.09.004,,notfound,0,2026-08-17
10.1016/j.concog.2013.08.013,,notfound,0,2026-08-17
10.1016/j.concog.2017.06.006,,notfound,0,2026-08-17
10.1016/j.cortex.2008.09.004,,notfound,0,2026-08-17
10.1016/j.cortex.2026.03.003,,notfound,0,2026-08-17
10.1016/j.cub.2006.07.048,,notfound,0,2026-08-17
10.1016/j.displa.2013.01.001,,notfound,0,2026-08-17
10.1016/j.healun.2018.12.014,,notfound,0,2026-08-17
10.1016/j.jenvp.2022.101764,,notfound,0,2026-08-17
10.1016/j.kint.2023.10.018,,notfound,0,2026-08-17
10.1016/j.neubiorev.2007.07.001,,notfound,0,2026-08-17
10.1016/j.neucli.2007.12.006,,notfound,0,2026-08-17
10.1016/j.neures.2009.08.005,,notfound,0,2026-08-17
10.1016/j.neuropsychologia.2008.06.004,,notfound,0,2026-08-17
10.1016/j.neuropsychologia.2009.09.022,,notfound,0,2026-08-17
10.1016/j.neuropsychologia.2009.09.034,,notfound,0,2026-08-17
10.1016/j.rehab.2016.10.002,,notfound,0,2026-08-17
10.1016/j.schres.2025.11.004,,notfound,0,2026-08-17
10.1016/j.tics.2003.12.008,,notfound,0,2026-08-17
10.1016/j.tics.2008.10.003,,notfound,0,2026-08-17
10.1016/j.trf.2021.07.016,,notfound,0,2026-08-17
10.1016/s0010-0277(02)00100-2,,notfound,0,2026-08-17
10.1016/s0079-6123(07)68018-2,,notfound,0,2026-08-17
10.1016/s0166-2236(97)01136-3,,notfound,0,2026-08-17
10.1016/s0960-9822(03)00449-4,,notfound,0,2026-08-17
10.1016/s1364-6613(02)01907-1,,notfound,0,2026-08-17
10.1016/s1364-6613(03)00032-9,,notfound,0,2026-08-17
