year,title,venue,doi,in_screening,match_method,source,record_id,calibration,has_abstract,intervention_modality,evaluation_target
2008,The effect of self-embodiment on distance perception in immersive virtual environments,Proc. ACM Symposium on Virtual Reality Software and Technology (VRST) 167-170,10.1145/1450579.1450614,N,—,,,,,Visual-Global,World-scale
2011,Being Barbie: The Size of One's Own Body Determines the Perceived Size of the World,PLoS ONE 6(5) e20195,10.1371/journal.pone.0020195,Y,DOI,snowballing,Rfaa9aec82,N,Y,Visual-Global,World-scale
2011,The influence of eye height and avatars on egocentric distance estimates in immersive virtual environments,Proc. ACM SIGGRAPH Symposium on Applied Perception (SAP) 67-74,10.1145/2077451.2077464,N,—,,,,,Visual-Perspective,World-scale
2013,Illusory ownership of a virtual child body causes overestimation of object sizes and implicit attitude changes,PNAS 110(31) 12846-12851,10.1073/pnas.1306779110,Y,DOI,database,R1762e7c03,N,Y,Visual-Global,World-scale
2013,Realistic immersion of a user into humanoids of different sizes and proportions in immersive virtual reality,Proc. 2013 IEEE Virtual Reality (VR) 149-150,10.1109/VR.2013.6549406,Y,DOI,database,R420f1a894,N,Y,Visual-Global,Ambiguous/Mixed
2013,Welcome to Wonderland: The Influence of the Size and Shape of a Virtual Hand On the Perceived Size and Shape of Virtual Objects,PLoS ONE 8(7) e68594,10.1371/journal.pone.0068594,Y,DOI,database,R3b8a25e6e,N,Y,Visual-Local,World-scale
2015,Self-characteristics and sound in immersive virtual reality — Estimating avatar weight from footstep sounds,Proc. 2015 IEEE Virtual Reality (VR) 283-284,10.1109/VR.2015.7223406,Y,DOI,database,Rf838e7bc8,N,Y,Multisensory-Auditory,Self-scale
2017,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,Proc. 8th Augmented Human International Conference (AH),10.1145/3041164.3041204,N,—,,,,,Visual-Local,Ambiguous/Mixed
2017,Dwarf or Giant: The Influence of Interpupillary Distance and Eye Height on Size Perception in Virtual Environments,Proc. ICAT-EGVE 2017 153-160,10.2312/egve.20171353,N,—,,,,,Visual-Perspective,World-scale
2018,Object Size Perception in Immersive Virtual Reality: Avatar Realism Affects the Way We Perceive,Proc. 2018 IEEE VR 647-648,10.1109/VR.2018.8446318,Y,DOI,database,Rb8717fcb6,N,Y,Visual-Local,World-scale
2020,Does Scaling Player Size Skew One's Ability to Correctly Evaluate Object Sizes in a Virtual Environment?,Proc. MIG 2020 (13th ACM SIGGRAPH Conf. on Motion Interaction and Games),10.1145/3424636.3426908,N,—,,,,,Visual-Global,World-scale
2020,Gulliver's virtual travels: active embodiment in extreme body sizes for modulating our body representations,Cognitive Processing 21 337-350,10.1007/s10339-020-00977-5,N,—,,,,,Visual-Global,Self-scale
2020,The effects of eye height and self-avatars on distance estimation in virtual reality: A replication study,Frontiers in Virtual Reality 1:588701,10.3389/frvir.2020.588701,N,—,,,,,Visual-Perspective,World-scale
2020,The plausibility paradox for scaled-down users in virtual environments,Proc. 2020 IEEE Conference on Virtual Reality and 3D User Interfaces (VR) 913-921,10.1109/VR46266.2020.00014,Y,title,snowballing,Rcea3e4189,N,Y,Visual-Global,Ambiguous/Mixed
2021,Enhancing Virtual Walking Sensation Using Self-Avatar in First-Person Perspective and Foot Vibrations,Frontiers in Virtual Reality 2:654088,10.3389/frvir.2021.654088,N,—,,,,,Multisensory-Tactile,Self-scale
2021,The Plausibility Paradox for Resized Users in Virtual Environments,Frontiers in Virtual Reality 2:655744,10.3389/frvir.2021.655744,Y,DOI,snowballing,R86e3957ef,N,Y,Visual-Global,Ambiguous/Mixed
2025,Impact of virtual self-touch on the embodiment of avatars with different body sizes,Proc. 2025 IEEE VR Abstracts and Workshops (VRW) 1232-1233,10.1109/VRW66409.2025.00262,N,—,,,,,Multisensory-Tactile,Self-scale
