normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
acm applied perception,[CORE:norm_title] ACM Symposium on Applied Perception | [SJR:norm_title] ACM Transactions on Applied Perception,CORE B | SJR Q2,norm_title,93,ACM Transactions on Applied Perception (x49) | Proceedings of the ACM Symposium on Applied Perception (x14) | ACM Symposium on Applied Perception 2023 (x7),[CORE B] ACM Symposium on Applied Perception,HIGH,
applied sciences,[SJR:norm_title] Applied Sciences (Switzerland) | [SJR:norm_title] Applied Sciences,SJR Q2 | SJR Q4,norm_title,19,Applied Sciences (Switzerland) (x19),[SJR Q4] Applied Sciences,HIGH,
sensors,[SJR:norm_title] Sensors International | [SJR:norm_title] Sensors | [SJR:norm_title] Journal of Sensors,SJR Q1 | SJR Q1 | SJR Q2,norm_title,19,"Sensors (x14) | Sensors (Switzerland) (x4) | Sensors (Basel, Switzerland) (x1)",[SJR Q2] Journal of Sensors,HIGH,Y
image graphics,[CORE:norm_title] International Conference on Image and Graphics | [SJR:norm_title] Journal of Image and Graphics (United Kingdom) | [SJR:norm_title] International Journal of Image and Graphics | [SJR:norm_title] Journal of Image and Graphics,CORE National: China | SJR Q3 | SJR Q3 | SJR Q3,norm_title,12,Journal of Image and Graphics (x9) | International Journal of Image and Graphics (x2) | Journal of Image and Graphics (United Kingdom) (x1),[CORE National: China] International Conference on Image and Graphics,HIGH,
acm ieee human robot interaction,[CORE:norm_title] ACM/IEEE International Conference on Human-Robot Interaction | [SJR:norm_title] ACM/IEEE International Conference on Human-Robot Interaction,CORE A* | SJR -,norm_title,11,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction (x3) | 2025 20th ACM/IEEE international conference on human-robot interaction (HRI) (x2) | 2018 13th ACM/IEEE international conference on human-robot interaction (HRI) (x1),[CORE A*] ACM/IEEE International Conference on Human-Robot Interaction,HIGH,Y
artificial intelligence education,[CORE:norm_title] International Conference on Artificial Intelligence in Education | [SJR:norm_title] International Journal of Artificial Intelligence in Education,CORE A | SJR Q1,norm_title,10,Proceedings of the 2025 4th International Conference on Artificial Intelligence and Education (x4) | Proceedings of the 2024 3rd International Conference on Artificial Intelligence and Education (x3) | International Journal of Artificial Intelligence in Education (x2),[CORE A] International Conference on Artificial Intelligence in Education,HIGH,
ieee multimedia,[CORE:norm_title] IEEE International Symposium on Multimedia | [SJR:norm_title] IEEE Transactions on Multimedia | [SJR:norm_title] IEEE Multimedia,CORE C | SJR Q1 | SJR Q1,norm_title,10,IEEE Transactions on Multimedia (x8) | 2016 IEEE international symposium on multimedia (ISM) (x1) | IEEE MultiMedia (x1),[CORE C] IEEE International Symposium on Multimedia,HIGH,Y
medicina,[SJR:norm_title] Medicina (Lithuania) | [SJR:norm_title] Medicina (Buenos Aires) | [SJR:norm_title] Medicina (Brazil),SJR Q2 | SJR Q4 | SJR Q4,norm_title,10,Medicina (Lithuania) (x7) | Medicina (x2) | Medicina (Brazil) (x1),[SJR Q4] Medicina (Brazil),HIGH,
vision,[SJR:norm_title] Journal of Vision | [SJR:norm_title] Vision (Switzerland) | [SJR:norm_title] Vision,SJR Q2 | SJR Q2 | SJR Q3,norm_title,10,Journal of Vision (x10),[SJR Q3] Vision,HIGH,
neurology,[SJR:norm_title] Neurology | [SJR:norm_title] Journal of Neurology | [SJR:norm_title] Neurology International,SJR Q1 | SJR Q1 | SJR Q2,norm_title,9,Journal of Neurology (x6) | Neurology (x2) | Neurology International (x1),[SJR Q2] Neurology International,HIGH,Y
