venue,record_count
Lecture Notes in Computer Science,131
Journal of Clinical Medicine,34
Frontiers in Neurology,23
Brain Sciences,19
Journal of Sensors,18
NeuroRehabilitation,15
Computer Animation and Virtual Worlds,15
Human Movement Science,14
IEEE Transactions on Haptics,13
Frontiers in Robotics and AI,10
Trials,9
Neurology International,9
World Neurosurgery,6
Eating and Weight Disorders,6
International Journal of Computer Assisted Radiology and Surgery,6
International Journal of Industrial Ergonomics,6
Journal of Burn Care and Research,6
Quarterly Journal of Experimental Psychology,6
BioMed Research International,6
JMIR Formative Research,5
Neuropsychologia,5
Displays,5
Physiotherapy Theory and Practice,5
Frontiers in Neuroscience,5
Textile Research Journal,5
Cognitive Processing,5
Medical Science Monitor,5
Journal of Vestibular Research: Equilibrium and Orientation,5
BMC Neurology,5
Journal of Movement Disorders,5
Brazilian Journal of Otorhinolaryngology,5
Interacting with Computers,4
Computer,4
IEEE Transactions on Games,4
Healthcare,4
Behavioural Brain Research,4
Human-Computer Interaction,4
BMC Musculoskeletal Disorders,4
Journal of Clinical Neuroscience,4
Pilot and Feasibility Studies,4
Transactions on Machine Learning Research,4
Virtual Reality and Intelligent Hardware,4
Multisensory Research,3
Physica Medica,3
Acta Neurologica Belgica,3
BMC Anesthesiology,3
Urology,3
Physiotherapy Research International,3
Frontiers in Computer Science,3
Geriatric Nursing,3
Journal of Pain Research,3
JMIR XR and Spatial Computing,3
Frontiers in Physiology,3
Acta Neurochirurgica,3
Brain and Behavior,3
Developmental Neurorehabilitation,3
Advanced Robotics,2
BMC Cardiovascular Disorders,2
Journal of Dental Education,2
British Journal of Pain,2
International Journal of Intelligent Robotics and Applications,2
Turkish Journal of Physical Medicine and Rehabilitation,2
Skeletal Radiology,2
Pediatric Cardiology,2
Physiology and Behavior,2
Journal of Bodywork and Movement Therapies,2
Journal of Visualized Experiments,2
Journal of Aging and Physical Activity,2
Advances in Physiology Education,2
Journal of Lower Genital Tract Disease,2
Physical and Occupational Therapy in Pediatrics,2
Journal of Orthopaedic Research,2
JTCVS Techniques,2
Journal of Engineered Fibers and Fabrics,2
Journal of Poultry Science,2
Assistive Technology,2
