seed_id,seed_title,direction,found_title,found_abstract,found_doi,found_year,found_venue,in_db_already,venue_rank_note,ref_source,kw_g1,kw_g2,kw_g3,kw_groups,picos_decision,reason
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,The role of interaction in virtual embodiment: Effects of the virtual hand representation,"How do people appropriate their virtual hand representation when interacting in virtual environments? In order to answer this question, we conducted an experiment studying the sense of embodiment when interacting with three different virtual hand representations, each one providing a different degree of visual realism but keeping the same control mechanism. The main experimental task was a Pick-and-Place task in which participants had to grasp a virtual cube and place it to an indicated position while avoiding an obstacle (brick, barbed wire or fire). An additional task was considered in which participants had to perform a potentially dangerous operation towards their virtual hand: place their virtual hand close to a virtual spinning saw. Both qualitative measures and questionnaire data were gathered in order to assess the sense of agency and ownership towards each virtual hand. Results show that the sense of agency is stronger for less realistic virtual hands which also provide less mismatch between the participant's actions and the animation of the virtual hand. In contrast, the sense of ownership is increased for the human virtual hand which provides a direct mapping between the degrees of freedom of the real and virtual hand.",10.1109/vr.2016.7504682,2016,IEEE Conference on Virtual Reality and 3D User Interfaces,N,CORE A*,Crossref,Y,Y,N,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Illusory ownership of a virtual child body causes overestimation of object sizes and implicit attitude changes,,10.1073/pnas.1306779110,2013,Proceedings of the National Academy of Sciences of the United States of America,Y,SJR Q1,Crossref,N,Y,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,When Far Becomes Near: Remapping of Space by Tool Use,,10.1162/089892900562237,2000,Journal of Cognitive Neuroscience,N,SJR Q4,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Peripersonal Space: A Multisensory Interface for BodyâĂŞObject Interactions,,,2012,,N,,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,,,10.1109/vr.2006.52,,,N,,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Leap Motion News 2012,,,,,N,,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Welcome to Wonderland: The Influence of the Size and Shape of a Virtual Hand On the Perceived Size and Shape of Virtual Objects,"The notion of body-based scaling suggests that our body and its action capabilities are used to scale the spatial layout of the environment. Here we present four studies supporting this perspective by showing that the hand acts as a metric which individuals use to scale the apparent sizes of objects in the environment. However to test this, one must be able to manipulate the size and/or dimensions of the perceiver’s hand which is difficult in the real world due to impliability of hand dimensions. To overcome this limitation, we used virtual reality to manipulate dimensions of participants’ fully-tracked, virtual hands to investigate its influence on the perceived size and shape of virtual objects. In a series of experiments, using several measures, we show that individuals’ estimations of the sizes of virtual objects differ depending on the size of their virtual hand in the direction consistent with the body-based scaling hypothesis. Additionally, we found that these effects were specific to participants’ virtual hands rather than another avatar’s hands or a salient familiar-sized object. While these studies provide support for a body-based approach to the scaling of the spatial layout, they also demonstrate the influence of virtual bodies on perception of virtual environments.",10.1371/journal.pone.0068594,2013,PLoS ONE,Y,SJR Q1,Crossref,Y,Y,Y,3,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Illusory Shrinkage and Growth: Body-Based Rescaling affects the Perception of Size,"The notion that apparent sizes are perceived relative to the size of one’s body is supported through the discovery of a new visual illusion. When graspable objects are magnified by magnifying goggles, they appear to shrink back to near-normal size when one’s hand (also magnified) is placed next to them. When objects are “minified” by minifying goggles, the opposite occurs. The rescaling effect also occurred when participants who were trained in tool use viewed the tool next to the objects. However, this change in apparent size does not occur when familiar objects or someone else’s hand is placed next to the magnified or minified object. Presumably, objects’ apparent sizes shift closer to their actual sizes when one’s hand is viewed because objects’ sizes relative to the hand are the same with or without the goggles. These findings highlight the role of body scaling in size perception.",10.1177/0956797610380700,2010,Psychology Science,N,未照合,Crossref,N,Y,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Multisensory integration and the body schema: close to hand and within reach.,,10.1016/s0960-9822(03)00449-4,2003,Current Biology,N,SJR Q1,Crossref,N,Y,N,1,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Distorting the visual size of the hand affects hand pre-shaping during grasping,,10.1007/s00221-009-2143-4,2009,Experimental Brain Research,N,SJR Q3,Crossref,N,N,Y,1,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Metamorphosis Hand: Dynamically Transforming Hands,,10.1145/2875194.2875246,2016,International Conference on Adaptive Hypermedia and Adaptive Web-Based Systems,N,未照合,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,"Perception viewed as a phenotypic expression. Action science: Foundations of an emerging discipline, 171",,,2013,,N,,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,The perception of egocentric distances in virtual environments - A review,,10.1145/2543581.2543590,2013,ACM Computing Surveys,Y,SJR Q1,Crossref,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,"The rubber hand illusion revisited: visuotactile integration and self-attribution. Journal of experimental psychology. Human perception and performance, 31(1):80--91",,,2005,,N,,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Judgment under Uncertainty: Heuristics and Biases. Science,,,1974,New Series,N,未照合,Crossref,N,N,N,0,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,backward,Being Barbie: The Size of One’s Own Body Determines the Perceived Size of the World,"A classical question in philosophy and psychology is if the sense of one's body influences how one visually perceives the world. Several theoreticians have suggested that our own body serves as a fundamental reference in visual perception of sizes and distances, although compelling experimental evidence for this hypothesis is lacking. In contrast, modern textbooks typically explain the perception of object size and distance by the combination of information from different visual cues. Here, we describe full body illusions in which subjects experience the ownership of a doll's body (80 cm or 30 cm) and a giant's body (400 cm) and use these as tools to demonstrate that the size of one's sensed own body directly influences the perception of object size and distance. These effects were quantified in ten separate experiments with complementary verbal, questionnaire, manual, walking, and physiological measures. When participants experienced the tiny body as their own, they perceived objects to be larger and farther away, and when they experienced the large-body illusion, they perceived objects to be smaller and nearer. Importantly, despite identical retinal input, this “body size effect” was greater when the participants experienced a sense of ownership of the artificial bodies compared to a control condition in which ownership was disrupted. These findings are fundamentally important as they suggest a causal relationship between the representations of body space and external space. Thus, our own body size affects how we perceive the world.",10.1371/journal.pone.0020195,2011,PLoS ONE,N,SJR Q1,Crossref,N,Y,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Empirically Evaluating the Effects of Calibration Perturbations on the Near-field Size Perception of Graspable Tangible Objects in VR,"Immersive Virtual Environments (IVEs) incorporating tangible graspable objects are becoming more accessible for training and other applications. Visual and proprioceptive information has been shown to be important for accurate distance and size perception. However, previous research has shown that users overestimate the size of tangible objects in IVEs. To address this issue, researchers have demonstrated the use of calibration to alter users' perceptions. In this study, we examined the carryover effects of calibration on the perceived size of graspable dials in IVEs. Participants wore head-mounted displays and experienced two calibration perturbations: Divergent Plus (physical dials 10% larger than virtual) and Divergent Minus (physical dials smaller than virtual). These were compared to the baseline Convergent condition (equal diameters). The results showed significant effects of the calibration on the accuracy of diameter estimates. Overall, a higher overestimation of dial sizes for the haptics-only condition was observed as compared to the vision-only condition. Additionally, participants' estimations worsened when haptic information was added to the vision during calibration but improved when vision information was added to the haptics-only condition during calibration. These findings highlight the importance of calibration in improving the accuracy of size perception in IVEs and contribute to our understanding of how tangible graspable objects are perceived in immersive virtual environments.",10.1109/tvcg.2026.3679914,2026,IEEE Transactions on Visualization and Computer Graphics,N,SJR Q1,S2,Y,N,Y,2,,
