freq_rank,venue_raw,record_count,venue_norm,core_nn_title,core_nn_rank,core_nn_lev_sim,sjr_nn_title,sjr_nn_quartile,sjr_nn_lev_sim,flag_potential_highrank_miss,flag_q2_neighbor
1,(空欄),233,,,,,,,,,
2,"Proceedings of the 2025 International Conference on Artificial Intelligence, Virtual Reality and Interaction Design",132,artificial intelligence virtual reality interaction design,Artificial Intelligence Applications and Innovations,National/Regional,0.603,Artificial Intelligence and Applications,Q1,0.569,,
3,Symposium on Virtual and Augmented Reality,107,virtual augmented reality,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,0.594,Virtual Reality,Q1,0.600,,
4,Proceedings of the 10th International Conference on Virtual Reality Continuum and Its Applications in Industry,97,virtual reality continuum its applications industry,IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),C,0.431,,,,,
5,Proceedings of the 2004 ACM SIGGRAPH international conference on Virtual Reality continuum and its applications in industry - VRCAI '04,83,acm siggraph virtual reality continuum its applications industry vrcai 04,ISCA International Conference on Computer Applications in Industry and Engineering,C,0.356,,,,,
6,Proceedings of the 8th International Conference on Virtual Reality Continuum and its Applications in Industry,73,virtual reality continuum its applications industry,IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),C,0.431,,,,,
7,Proceedings of the 17th International Conference on Virtual-Reality Continuum and its Applications in Industry,66,virtual reality continuum its applications industry,IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),C,0.431,,,,,
8,Proceedings of the 2006 ACM international conference on Virtual reality continuum and its applications,60,acm virtual reality continuum its applications,International Conference on Computational Science and its Applications,C,0.522,International Journal of Advances in Soft Computing and its Applications,Q3,0.543,,
9,Proceedings of the 11th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,57,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
10,Proceedings of the 9th ACM SIGGRAPH Conference on Virtual-Reality Continuum and its Applications in Industry,53,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
11,Proceedings of the 15th ACM SIGGRAPH Conference on Virtual-Reality Continuum and Its Applications in Industry - Volume 1,50,acm siggraph virtual reality continuum its applications industry volume 1,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",C,0.384,,,,,
12,ACM International Conference Proceeding Series,46,acm conference proceeding series,IADIS International Conference Applied Computing,C,0.471,AIP Conference Proceedings,-,0.750,,
13,Proceedings of The 7th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and Its Applications in Industry,46,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
14,Proceedings of the 12th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and Its Applications in Industry,46,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
15,Proceedings of the 2025 20th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,42,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
16,Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,40,extended chi human factors computing systems,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.548,,
17,"Proceedings of the 2025 2nd International Conference on Virtual Reality, Image and Signal Processing",40,virtual reality image signal processing,International Conference on Image and Signal Processing,C,0.590,"Circuits, Systems, and Signal Processing",Q3,0.590,,
18,Proceedings of the 2016 Virtual Reality International Conference,38,virtual reality conference,Information Security Conference,C,0.581,Virtual Reality,Q1,0.577,,
19,Proceedings of the 2014 Virtual Reality International Conference,38,virtual reality conference,Information Security Conference,C,0.581,Virtual Reality,Q1,0.577,,
20,"Proceedings of the 2001 conference on Virtual reality, archeology, and cultural heritage - VAST '01",38,virtual reality archeology cultural heritage vast 01,ACM Virtual Reality Software and Technology,B,0.346,Digital Applications in Archaeology and Cultural Heritage,Q1,0.577,,
21,Proceedings of the Virtual Reality International Conference: Laval Virtual,37,virtual reality conference laval virtual,ACM Virtual Reality Software and Technology,B,0.400,,,,,
22,Proceedings of the 18th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,35,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
23,Proceedings of the 2012 Virtual Reality International Conference,34,virtual reality conference,Information Security Conference,C,0.581,Virtual Reality,Q1,0.577,,
24,Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,33,extended chi human factors computing systems,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.548,,
25,Proceedings of the 13th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,33,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
26,"ACM SIGGRAPH 2018 Virtual, Augmented, and Mixed Reality",32,acm siggraph virtual augmented mixed reality,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,0.477,,,,,
27,Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,31,extended chi human factors computing systems,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.548,,
28,"ACM SIGGRAPH 2019 Virtual, Augmented, and Mixed Reality",31,acm siggraph virtual augmented mixed reality,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,0.477,,,,,
29,Proceedings of the 2015 Virtual Reality International Conference,30,virtual reality conference,Information Security Conference,C,0.581,Virtual Reality,Q1,0.577,,
30,Advances in Intelligent Systems and Computing,29,advances intelligent systems computing,International Symposium on Innovations in Intelligent Systems and Applications,C,0.614,Advanced Intelligent Systems,Q1,0.711,,
31,Proceedings of the Virtual Reality International Conference - Laval Virtual,29,virtual reality conference laval virtual,ACM Virtual Reality Software and Technology,B,0.400,,,,,
32,"Proceedings of the 2024 International Conference on Virtual Reality, Image and Signal Processing",28,virtual reality image signal processing,International Conference on Image and Signal Processing,C,0.590,"Circuits, Systems, and Signal Processing",Q3,0.590,,
33,Proceedings of the 16th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,26,acm siggraph virtual reality continuum its applications industry,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,0.438,,,,,
34,CHI Conference on Human Factors in Computing Systems Extended Abstracts,24,chi human factors computing systems extended,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.705,,
35,Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,24,extended chi human factors computing systems,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.548,,
36,"Proceedings of the 5th international conference on Computer graphics, virtual reality, visualisation and interaction in Africa",24,computer graphics virtual reality visualisation interaction africa,Annual Computer Security Applications Conference,A,0.409,,,,,
37,Proceedings of the fifth symposium on Virtual reality modeling language (Web3D-VRML),23,fifth virtual reality modeling language,IEEE Conference on Virtual Reality and 3D User Interfaces,A*,0.513,,,,,
38,Proceedings of the 2018 International Conference on Artificial Intelligence and Virtual Reality,23,artificial intelligence virtual reality,International Conference on Artificial Intelligence in Education,A,0.692,Artificial Intelligence in Health,Q2,0.769,,
39,Proceedings of the Virtual Reality International Conference - Laval Virtual 2017,22,virtual reality conference laval virtual,ACM Virtual Reality Software and Technology,B,0.400,,,,,
40,Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,22,extended chi human factors computing systems,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.548,,
41,"Proceedings of the 1st international conference on Computer graphics, virtual reality and visualisation - AFRIGRAPH '01",22,computer graphics virtual reality visualisation afrigraph 01,"Computer Animation, Information Visualisation, and Digital Effects",C,0.450,,,,,
42,2021 5th International Conference on Artificial Intelligence and Virtual Reality (AIVR),21,artificial intelligence virtual reality,International Conference on Artificial Intelligence in Education,A,0.692,Artificial Intelligence in Health,Q2,0.769,,
43,"Proceedings of the 2nd international conference on Computer graphics, virtual Reality, visualisation and interaction in Africa - AFRIGRAPH '03",21,computer graphics virtual reality visualisation interaction africa afrigraph 03,Annual Computer Security Applications Conference,A,0.354,,,,,
44,Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,20,extended chi human factors computing systems,International Conference on Human Factors in Computing Systems,A*,0.705,Conference on Human Factors in Computing Systems - Proceedings,-,0.548,,
45,Proceedings of the fourth symposium on Virtual reality modeling language,20,fourth virtual reality modeling language,International Conference on Coordination Models and Languages,C,0.475,,,,,
46,"Proceedings of the 3rd international conference on Computer graphics, virtual reality, visualisation and interaction in Africa",20,computer graphics virtual reality visualisation interaction africa,Annual Computer Security Applications Conference,A,0.409,,,,,
47,Proceedings of the 24th Symposium on Virtual and Augmented Reality,19,virtual augmented reality,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,0.594,Virtual Reality,Q1,0.600,,
48,"Proceedings of the 4th international conference on Computer graphics, virtual reality, visualisation and interaction in Africa",18,computer graphics virtual reality visualisation interaction africa,Annual Computer Security Applications Conference,A,0.409,,,,,
49,Proceedings of Mensch und Computer 2019,18,mensch und computer,Mensch & Computer,National: Germany,0.789,Visual Computer,Q2,0.579,,
50,ACM SIGGRAPH Computer Graphics,18,acm siggraph computer graphics,Computer Graphics International,C,0.567,IEEE Transactions on Visualization and Computer Graphics,Q1,0.583,,
