raw_venue,matched_entry,source,rank,match_stage,similarity,record_count,decision,priority,orig_string_sim,alt_candidate
Proceedings of the ACM on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.889,82,EXCLUDED,P1,0.667,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.93 (採用側)
Proceedings of the 36th Australasian Conference on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.833,8,EXCLUDED,P1,0.742,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.84 (採用側)
32nd Australian Conference on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.857,7,EXCLUDED,P1,0.893,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.87 (採用側)
2023 IEEE/CVF conference on computer vision and pattern recognition (CVPR),IEEE Conference on Computer Vision and Pattern Recognition,CORE,A*,acronym,1.000,5,INCLUDED,P1,0.879,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops [SJR -] sim=0.83 (除外側)
2025 IEEE/CVF international conference on computer vision (ICCV),IEEE International Conference on Computer Vision,CORE,A*,acronym,1.000,5,INCLUDED,P1,0.857,IET Computer Vision [SJR Q2] sim=0.84 (除外側)
2025 11th international conference on virtual reality (ICVR),International Conference on Virtual Rehabilitation,CORE,Unranked,acronym,1.000,5,EXCLUDED,P1,0.782,Virtual Reality [SJR Q1] sim=1.00 (採用側)
33rd Australian Conference on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.857,5,EXCLUDED,P1,0.874,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.87 (採用側)
Proceedings of the 31st Australian Conference on Human-Computer-Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.857,5,EXCLUDED,P1,0.738,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.87 (採用側)
2025 IEEE/CVF conference on computer vision and pattern recognition (CVPR),IEEE Conference on Computer Vision and Pattern Recognition,CORE,A*,acronym,1.000,4,INCLUDED,P1,0.879,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops [SJR -] sim=0.83 (除外側)
2023 IEEE/CVF international conference on computer vision (ICCV),IEEE International Conference on Computer Vision,CORE,A*,acronym,1.000,4,INCLUDED,P1,0.857,IET Computer Vision [SJR Q2] sim=0.84 (除外側)
ACM Transactions on Human-Robot Interaction,ACM/IEEE International Conference on Human-Robot Interaction,CORE,A*,fuzzy,0.915,4,INCLUDED,P1,0.738,Proceedings of the ACM on Human-Computer Interaction [SJR Q2] sim=0.81 (除外側)
Proceedings of the 2020 4th International Conference on Digital Signal Processing,International Conference on Image and Signal Processing,CORE,C,fuzzy,0.833,4,EXCLUDED,P1,0.691,IEEE Transactions on Signal Processing [SJR Q1] sim=0.81 (採用側)
2024 IEEE/CVF conference on computer vision and pattern recognition (CVPR),IEEE Conference on Computer Vision and Pattern Recognition,CORE,A*,acronym,1.000,3,INCLUDED,P1,0.879,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops [SJR -] sim=0.83 (除外側)
Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),European Conference on Artificial Intelligence,CORE,A,fuzzy,0.841,3,INCLUDED,P1,0.459,International Conference on Agents and Artificial Intelligence [CORE B] sim=0.81 (除外側)
European Journal of Pain (United Kingdom),European SPI,CORE,B,fuzzy,0.880,3,EXCLUDED,P1,0.415,European Journal of Pain [SJR Q1] sim=1.00 (採用側)
PLoS Computational Biology,European Conference on Computational Biology,CORE,C,fuzzy,0.821,3,EXCLUDED,P1,0.686,PLOS Computational Biology [SJR Q1] sim=1.00 (採用側)
ACM Transactions on Sensor Networks,Body Sensor Networks,CORE,C,fuzzy,0.821,3,EXCLUDED,P1,0.618,ACM Transactions on Sensor Networks [SJR Q1] sim=1.00 (採用側)
Adjunct Proceedings of the 27th International Conference on Mobile Human-Computer Interaction,Nordic Conference on Human-Computer Interaction,CORE,Regional:Scandinavia,fuzzy,0.879,3,EXCLUDED,P1,0.643,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.89 (採用側)
Proceedings of the 25th International Conference on Mobile Human-Computer Interaction,Nordic Conference on Human-Computer Interaction,CORE,Regional:Scandinavia,fuzzy,0.879,3,EXCLUDED,P1,0.667,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.89 (採用側)
2021 IEEE/CVF international conference on computer vision (ICCV),IEEE International Conference on Computer Vision,CORE,A*,acronym,1.000,2,INCLUDED,P1,0.857,IET Computer Vision [SJR Q2] sim=0.84 (除外側)
2019 IEEE/CVF international conference on computer vision (ICCV),IEEE International Conference on Computer Vision,CORE,A*,acronym,1.000,2,INCLUDED,P1,0.857,IET Computer Vision [SJR Q2] sim=0.84 (除外側)
2022 IEEE/CVF conference on computer vision and pattern recognition (CVPR),IEEE Conference on Computer Vision and Pattern Recognition,CORE,A*,acronym,1.000,2,INCLUDED,P1,0.879,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops [SJR -] sim=0.83 (除外側)
MATEC Web of Conferences,International Semantic Web Conference,CORE,A,fuzzy,0.864,2,INCLUDED,P1,0.623,EPJ Web of Conferences [SJR -] sim=0.85 (除外側)
2018 IEEE intelligent vehicles symposium (IV),International Conference on Information Visualisation,CORE,C,acronym,1.000,2,EXCLUDED,P1,0.163,IEEE Transactions on Intelligent Vehicles [SJR Q1] sim=0.83 (採用側)
2022 8th international conference on virtual reality (ICVR),International Conference on Virtual Rehabilitation,CORE,Unranked,acronym,1.000,2,EXCLUDED,P1,0.789,Virtual Reality [SJR Q1] sim=1.00 (採用側)
Bioengineering,International Conference on Web Engineering,CORE,B,fuzzy,0.828,2,EXCLUDED,P1,0.456,APL Bioengineering [SJR Q1] sim=0.88 (採用側)
Proceedings of the XX International Conference on Human Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.871,2,EXCLUDED,P1,0.699,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.92 (採用側)
Proceedings of the 34th Australian Conference on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.857,2,EXCLUDED,P1,0.754,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.87 (採用側)
2024 43rd chinese control conference (CCC),IEEE Conference on Computational Complexity,CORE,A,acronym,1.000,1,INCLUDED,P1,0.400,"Chinese Control Conference, CCC [SJR -] sim=0.93 (除外側)"
2021 IEEE/CVF conference on computer vision and pattern recognition (CVPR),IEEE Conference on Computer Vision and Pattern Recognition,CORE,A*,acronym,1.000,1,INCLUDED,P1,0.879,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops [SJR -] sim=0.83 (除外側)
2023 IEEE/CVF international conference on computer vision workshops (ICCVW),IEEE International Conference on Computer Vision,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.780,IET Computer Vision [SJR Q2] sim=0.84 (除外側)
Computer Communications,IEEE International Conference on Computer Communications,CORE,A*,fuzzy,0.902,1,INCLUDED,P1,0.582,IEEE Symposium on Computers and Communications [CORE C] sim=0.88 (除外側)
IEEE Transactions on Evolutionary Computation,Genetic and Evolutionary Computations,CORE,A,fuzzy,0.839,1,INCLUDED,P1,0.707,IEEE Congress on Evolutionary Computation [CORE B] sim=0.87 (除外側)
IJCAI International Joint Conference on Artificial Intelligence,International Joint Conference on Artificial Intelligence,CORE,A*,fuzzy,0.906,1,INCLUDED,P1,0.950,Australasian Joint Conference on Artificial Intelligence [CORE Australasian B] sim=0.83 (除外側)
Proceedings of the ACM on Software Engineering,International Conference on Software Engineering,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.596,IEEE Software Engineering Workshop [CORE C] sim=0.86 (除外側)
Proceedings of the 2024 4th International Symposium on Big Data and Artificial Intelligence,International Joint Conference on Artificial Intelligence,CORE,A*,fuzzy,0.852,1,INCLUDED,P1,0.581,SGAI International Conference on Artificial Intelligence [CORE National: UK] sim=0.83 (除外側)
Proceedings of the 12th Innovations in Software Engineering Conference (formerly known as India Software Engineering Conference),Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.414,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
16th Innovations in Software Engineering Conference,Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.783,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
15th Innovations in Software Engineering Conference,Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.783,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
Proceedings of the 1994 ACM conference on Computer supported cooperative work - CSCW '94,ACM Conference on Computer Supported Cooperative Work,CORE,A,fuzzy,0.907,1,INCLUDED,P1,0.752,International Conference on Computer Supported Cooperative Work in Design [CORE C] sim=0.83 (除外側)
Proceedings of the 46th International Symposium on Computer Architecture,ACM International Symposium on Computer Architecture,CORE,A*,fuzzy,0.913,1,INCLUDED,P1,0.806,Workshop on Computer Architecture Education [CORE National: USA] sim=0.81 (除外側)
Proceedings of the International Conference on Artificial Intelligence and its Applications,International Conference on Artificial Intelligence in Education,CORE,A,fuzzy,0.822,1,INCLUDED,P1,0.774,Artificial Intelligence Applications and Innovations [CORE National/Regional] sim=0.82 (除外側)
Proceedings of the 14th Innovations in Software Engineering Conference (formerly known as India Software Engineering Conference),Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.414,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
Proceedings of the 52nd Annual International Symposium on Computer Architecture,ACM International Symposium on Computer Architecture,CORE,A*,fuzzy,0.913,1,INCLUDED,P1,0.763,Workshop on Computer Architecture Education [CORE National: USA] sim=0.81 (除外側)
Proceedings of the 2025 2nd International Conference on Artificial Intelligence and Future Education,International Conference on Artificial Intelligence in Education,CORE,A,fuzzy,0.904,1,INCLUDED,P1,0.768,International Conference on Artificial Intelligence in Medicine [CORE B] sim=0.81 (除外側)
"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",Architectural Support for Programming Languages and Operating Systems,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.676,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS [SJR -] sim=0.89 (除外側)
Proceedings of the 2019 3rd International Conference on Innovation in Artificial Intelligence,International Joint Conference on Artificial Intelligence,CORE,A*,fuzzy,0.857,1,INCLUDED,P1,0.680,SGAI International Conference on Artificial Intelligence [CORE National: UK] sim=0.81 (除外側)
"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",Architectural Support for Programming Languages and Operating Systems,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.676,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS [SJR -] sim=0.89 (除外側)
