"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5SZBHCE4","conferencePaper","2025","Surendiran, J","The hand glove mouse: a new paradigm in gesture-based, ergonomic human-computer interaction","2025 6th international conference on smart electronics and communication (ICOSEC)","","","10.1109/ICOSEC67334.2025.11459623","","","2025","2026-07-17 05:51:56","2026-07-17 05:51:56","","614-619","","","","","","","","","","","","","","","","","","","","","","","","Adders; Aerospace and electronic systems; Circuits; Contacts; ergonomics; Feedback; gaming; gesture classification; gesture recognition; Hand Glove Mouse; human-computer interaction; input modalities; Integrated circuits; intuitive control; Microcontrollers; Microprocessors; motion tracking; Sensor systems; strain-free interaction; Very large scale integration; virtual reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GY8BAIS","conferencePaper","2025","Kosanovic, Nicolas; Dowdy, Jordan; Vaz, Jean Chagas","Towards miniature humanoid tele-loco-manipulation using virtual reality and reinforcement learning","2025 IEEE-RAS 24th international conference on humanoid robots (humanoids)","","","10.1109/Humanoids65713.2025.11264861","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","1233-1240","","","","","","","","","","","","","","","","","","","","","","","","Hardware; Humanoid robots; Legged locomotion; Manipulators; Navigation; Reinforcement learning; Robot sensing systems; Sensors; Telepresence; Virtual reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KLLDJ3F","conferencePaper","2026","DeVeaux, Cyan; Hall, Elizabeth H.; Shaw, Andy J.; Francl, Andrew Frederick; van Horne, Paulus; Nieuwenhuizen, Frank M.; Garí, Sebastià V. Amengual; Huberth, Madeline","Audiovisual realism in MR: Investigating the effects of room acoustics on co-presence with photorealistic avatars","2026 IEEE conference on virtual reality and 3D user interfaces (VR)","","","10.1109/VR67842.2026.00075","","","2026","2026-07-17 05:51:57","2026-07-17 05:51:57","","552-562","","","","","","","","","","","","","","","","","","","","","","","","Amplitude shift keying; audio; avatars; Avatars; Circuits; Communication systems; Feedback; Graphical user interfaces; Location awareness; mixed reality; Protocols; room acoustics; Video games; Videos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6A64FYDJ","journalArticle","2025","Nyatsanga, Simbarashe; Roble, Doug; Neff, Michael","The impact of avatar retargeting on pointing and conversational communication","IEEE Transactions on Visualization and Computer Graphics","","","10.1109/TVCG.2025.3549171","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","3108-3118","","5","31","","","","","","","","","","","","","","","","","","","","","Accuracy; Avatars; Computer graphics; Computing methodologies; Fingers; Graphics systems and interfaces; Hands; HCI design and evaluation methods; Human computer interaction (HCI); Human-centered computing; Kinematics; Observers; Semantics; Stability criteria; Training; User studies; Virtual reality; Wrist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CUGLU4W","conferencePaper","2025","Chen, Xinjie; Ma, Yuan; Wang, Meili","AC-motion: High-quality arbitrary motion style transfer with local channel modulation and adaptive attention","2025 11th international conference on virtual reality (ICVR)","","","10.1109/ICVR66534.2025.11172600","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","247-255","","","","","","","","","","","","","","","","","","","","","","","","Accuracy; adaptive attention; Adaptive systems; Animation; Attention mechanisms; content consistency loss; Distortion; local channel modulation; Modulation; motion style transfer; Oscillators; Production; Virtual reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUJCLBU4","conferencePaper","2025","Nova, Arnaldo Barreto Vila; Vidal, Creto Augusto; Cavalcante-Neto, Joaquim B.; de Oliveira Carneiro, Lílian","Regionality marks for facial conformation modeling","2025 27th symposium on virtual and augmented reality (SVR)","","","10.1109/SVR67689.2025.00030","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","149-155","","","","","","","","","","","","","","","","","","","","","","","","Adaptation models; Anatomy; Character generation; Deformation; face anthropometry; Faces; Facial conformation; Interference; Level measurement; regionality marks; Scalability; Solid modeling; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VIHLZDX","conferencePaper","2025","Benkhalifa, Abdelaziz; Kodad, Mohcine; Chafik, Hajar","Evaluating the effectiveness of smart environment in distance learning: a PLS-SEM approach","2025 international conference on circuit, systems and communication (ICCSC)","","","10.1109/ICCSC66714.2025.11135033","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Computer aided instruction; Correlation; Digital intelligence; Distance learning; E-learning; Education; Electronic learning; Focusing; Human factors; Mathematical models; PLS-SEM; Smart Environments; Stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YLEXTBM","conferencePaper","2025","Hanai, Shun; Takeuchi, Yuto; Sato, Yushi; Okamoto, Yoshihiro; Iwai, Daisuke; Sato, Kosuke","Haptic augmentation by a wrist mounted device with laser speckle vibration sensing and hand projection","2025 IEEE conference on virtual reality and 3D user interfaces abstracts and workshops (VRW)","","","10.1109/VRW66409.2025.00163","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","802-806","","","","","","","","","","","","","","","","","","","","","","","","Hands; Laser applications; Laser feedback; Laser speckle measurement; Measurement by laser beam; Projected extended hand; Remote touch sensation; Sensors; Sensory addition; Speckle; Vibrations; Visualization; Wearable devices; Wrist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ4SXCCQ","conferencePaper","2025","Zou, Chanjuan","Multimodal diffusion-guided dance generation framework for digital human-based interactive music-driven dance teaching system","2025 international conference on communication, computer, and information technology (IC3IT)","","","10.1109/IC3IT66137.2025.11341585","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","1-6","","","","","","","","","","","","","","","","","","","","","","","","conditional denoising diffusion model; dance teaching system; Diffusion models; Digital humans; Humanities; multimodal diffusion-guided dance generation; Noise reduction; pose transformer network; Real-time systems; Rhythm; skinned multi-person linear; Solid modeling; Synchronization; Transformers; Virtual reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHFV4C6X","conferencePaper","2025","Kim, Hyunuk; Lee, Dajin; Choi, Seungmoon","Enhancing body-penetrating phantom sensations through multisensory integration of sound and vibration","2025 IEEE world haptics conference (WHC)","","","10.1109/WHC64065.2025.11123325","","","2025","2026-07-17 05:51:57","2026-07-17 05:51:57","","332-341","","","","","","","","","","","","","","","","","","","","","","","","audio; body penetration; crossmodal correspondence; funneling illusion; Haptic interfaces; Multisensory integration; multisensory perception; Phantoms; Semantics; sound; Systematics; Tactile phantom sensation; vibration; Vibrations; Virtual environments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
