"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VHJKN4EE","journalArticle","2026","Lee, John J.; Daoud, Emile G.; Simon, Joel W.; Aasbo, Johan D.; Tomassoni, Gery F.","Simultaneous Leadless Pacemaker Implant With Atrioventricular Node Ablation via Internal Jugular Approach","PACE - Pacing and Clinical Electrophysiology","","","10.1111/pace.70080","https://www.scopus.com/pages/publications/105020472993?origin=resultslist","Introduction: The feasibility and outcomes of simultaneous atrioventricular node ablation (AVNA) and leadless pacemaker (LLPM) implantation from the internal jugular (IJ) vein are not well studied. We report our single-center case series experience with concomitant implantation of the AVEIR LLPM and AVNA from the IJ venous approach. Methods: Patients with persistent atrial fibrillation (AF) with frequent rapid ventricular rate (RVR) episodes refractory to pharmacological therapy and not ideal for AF ablation were selected for LLPM and AVNA. These procedures were performed simultaneously via the IJ vein due to patient preference and anatomical challenges (presence of severe scar tissue from prior procedures, presence of an inferior vena cava [IVC] filter, etc.). All patients were followed for at least 4 weeks post procedure. Results: Ten patients (mean age of 76.1 ± 11.5 years, 60% female) underwent successful simultaneous AVEIR implantation and AVNA via IJ venous access. Median device implantation time was 15.5 min, procedure time was 45 min, fluoroscopy time was 6.4 min, and radiation dose was 82 mGy. No device repositioning occurred. Mean pacing capture threshold at implant was 0.65 ± 0.316 V and impedance of 848 ± 209 Ω. At follow-up, pacing capture threshold was 0.5 V at 0.4 ms in all patients. Mean radiofrequency (RF) time to successful AVN ablation was 191.6 ± 86 s. Hemostasis was obtained within 5 min in all cases. There were no procedure-related complications and no adverse interaction from performing these procedures simultaneously. Specifically, there was no interaction with radiofrequency current and LLPM function. Mean time to ambulation post procedure was 82 ± 12 min and six out of seven patients scheduled for an elective procedure were able to be discharged home the same day. Conclusion: This early series suggests that simultaneous AVNA and LLPM implantation from the IJ is feasible and safe. This IJ approach provides an alternative access option for the ablate and pace strategy and allows for early ambulation and discharge. © 2025 Wiley Periodicals LLC.","2026","2026-05-15 01:54:25","2026-05-15 01:54:25","","143 - 148","","2","49","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Bronze Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LHTGYG5","journalArticle","2025","Mabrouk, Ahmed; Peuchot, Henri; Jacquet, Christophe; Onishi, Shintaro; Ollivier, Matthieu","The benefits of intraoperative virtual reality distraction in anterior cruciate ligament reconstruction (ACLR) under spinal anaesthesia","Journal of Experimental Orthopaedics","","","10.1002/jeo2.70301","https://www.scopus.com/pages/publications/105007611454?origin=resultslist","Purpose: Patient anxiety in anterior cruciate ligament reconstruction (ACLR) is a preventable potential risk factor for poor patient satisfaction and surgical outcomes. This study aimed to assess the impact of virtual reality (VR) on the anxiety of patients undergoing ACLR under spinal anaesthesia (SA). The primary outcome was the perioperative patient anxiety level as assessed by the State-Trait Anxiety Inventory (STAI-Y1) score. Methods: A prospective randomised controlled study, of a single-centre series of patients undergoing ACLR + Lemaire lateral extra-articular tenodesis (LET) under SA, was conducted. Patients were randomised into two groups: Group 1 was a control group, where standard ACLR was performed, and Group 2 had ACLR performed with VR headset used. Pre- and postoperative VAS pain, comfort and anxiety were recorded. Additionally, pre-and postoperative patient anxiety was recorded by the State-Trait Anxiety Inventory (STAI) Score. STAI-Y1 score form was used, which assesses the state (current) level of anxiety. Intraoperative adverse events were recorded including sedation requirements and rescue analgesia and patient postoperative satisfaction was recorded. Results: A total of 60 patients underwent ACLR + LET under SA. Patients were randomised into 2 groups: Group 1 (n = 30), the control group, had standard ACLR performed. Group 2 (n = 30) had ACLR with the use of the VR headset. There was no difference in the mean age and mean BMI between the two groups (p > 0.05). Intraoperatively, less rescue analgesia and less required sedation were encountered in the VR group compared to the control group, 13.3% versus 36.7% (p = 0.03), and 10% versus 56.7% (p < 0.0001), respectively. There was no significant difference in preoperative anxiety between both groups either on the VAS or STAI-Y1 scores (both p = 0.8). The preoperative STAI-Y1 score was 33.3 ± 7.9 in the control group versus 34.9 ± 9.7 in the VR group (p = 0.8). Intraoperatively, there was significantly less anxiety STAI-Y1 score in the VR group of 29.6 ± 7.3 compared to the control group at a score of 36.9 ± 5.8 (p < 0.0001). This continued to be the case in the immediate postoperative period, with significantly lower anxiety score STAI-Y1 in the VR group versus the control group, 30.6 ± 6.9 versus 37.3 ± 5.7, respectively (p < 0.0001). High VAS satisfaction assessed by both the anaesthesiologist and anaesthetic nurse was reported in the VR group versus the control group, 80% versus 36.7% and 93.3% versus 46.7% (all p < 0.0001). VAS pain score was significantly less in the VR group compared to the control group; 2.3 ± 2.1 versus 3.1 ± 2.9 (p = 0.03) in the recovery room, and 2.9 ± 2.7 versus 3.4 ± 3 (p = 0.04) before discharge to home. Conclusion: Virtual reality-augmented anterior cruciate ligament reconstruction results in significantly fewer intraoperative adverse events, significantly less intraoperative and less immediate postoperative patient's anxiety, and higher overall patient satisfaction when assessed by the anaesthetic team. Level of Evidence: Level I, randomised controlled trial. © 2025 The Author(s). Journal of Experimental Orthopaedics published by John Wiley & Sons Ltd on behalf of European Society of Sports Traumatology, Knee Surgery and Arthroscopy.","2025","2026-05-15 01:54:25","2026-05-15 01:54:25","","","","2","12","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Gold Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36K8W688","journalArticle","2025","Keller-Tuberg, Melissa; Bell, Imogen; Wadley, Greg; Thompson, Andrew; Thomas, Neil","A Qualitative Study of Youth Mental Health Service Users’ Views on the Delivery of Psychological Interventions via Virtual Worlds","Virtual Worlds","","","10.3390/virtualworlds4040052","https://www.scopus.com/pages/publications/105025805603?origin=resultslist","With origins in video gaming, 3D virtual worlds (VWs) are digital environments where people engage and interact synchronously using digital characters called avatars. VWs may have future potential for delivering youth mental health (YMH) services. Despite progress in developing VW-based YMH interventions, limited consultation with young people may be contributing to mixed uptake and engagement. This study aimed to understand how young people with experiences accessing YMH services view the potential (i.e., hypothetical) use of VWs for YMH service delivery to understand qualitative factors influencing uptake. Eleven 18–25-year-old consumers (M = 22.91 years; five women, five men, and one non-binary person) took part in one-on-one, semi-structured interviews via videoconferencing. Interviews explored anticipated ease of use, helpfulness, and perceived intention to use VW-based YMH interventions if they were made available. Interviews were analysed using reflexive thematic analysis. Four themes were produced: (1) VWs as unique therapeutic spaces; (2) creative engagement for therapy; (3) VW communication promoting both connection and distance; (4) flexible access. All participants expressed a level of openness towards the potential use of VWs for YMH interventions. Features such as creative world-building and avatar customisation, increased anonymity, and remote accessibility were seen as ways to improve access to convenient, personalised, and engaging mental healthcare. Concerns included technology misuse, privacy risks, and reduced physical and emotional presence. Future research and service development should test real-world outcomes to ensure clinical benefit and employ codesign approaches that leverage servicer-users’ expectations to ensure accessible and acceptable delivery. © 2025 by the authors.","2025","2026-05-15 01:54:25","2026-05-15 01:54:25","","","","4","4","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Gold Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WX2UK39J","journalArticle","2025","Jing, Jianwei; Hu, Yupeng; Ma, Wangiei; Yuan, Zishun; Gu, Binglei; Xu, Wang","Finite element analysis on influence of air gap on ballistic performance of body armor","Fangzhi Xuebao/Journal of Textile Research","","","10.13475/j.fzxb.20240705201","https://www.scopus.com/pages/publications/105010817894?origin=resultslist","Objective Although body armor can block bullet penetration, the wearer can still suffer severe blunt trauma (BATA). There are gaps between the human body and the body armor, which may significantly affect the protective performance of the body amor and reduce the injury to the wearer. This study aims to investigate the impact of gap size on the protective performance of body armor using finite element analysis. This research is crucial for optimizing body amor design, enhancing wearer safety, and providing insights for future developments in protective clothing. Method This study obtained human upper torso data through 3-D human body scanning to construct a geometric model of the human chest, ribcage, and external soft tissues. Virtual fitting software was used to accurately design body armor, build multi-layer body armor models of different sizes, perform accuracy analysis on the model, and verify the model's accuracy. Finite element analysis was performed using Abaqus/Explicit software. The mesh density at the impact location was adjusted, and impact simulation was performed according to the NIJ 0101.06 standard. Results Finite element simulations showed significant differences in protective performance of body armor with different gap sizes. From the perspective of human body deformation, with the chest gap increased from 0 mm to 2.3 mm, the width and depth of human body deformation was decreand by 1.27 times and 1. 25 times, respectively, significantly reducing human body deformation. This change was more evident at the wait. Specifically, when the gap at the waist impact increased from 0 mm to 7.1 mm, the width and depth of the human body deformation were decreased by 2. 06 times and 3. 14 times, respectively. The human body deformation results show that increasing the gap size reduced the degree of human body deformation and the risk of blunt injury. The energy absorption capacity of the body armor and the human body's impact response time showd that when the gap at the chest impact area increases from 0 mm to 2.3 mm, the maximum strain energy absorbed by the body armor was increased by 1. 51 times, the human body's impact response time was extended by 6 µs, and the kinetic energy of the bullet at the moment of contact was reduced by 24.3%. When the gap at the waist impact point increased from 0 mm to 7.1 mm, the maximum strain energy absorption of the body armor was increased by 2. 69 times, the human body's response time was extended by 29 us, and the bullet's kinetic energy at the moment of contact was reduced by 78.4%. These results indicate that increasing the gap size could significantly improve the protective performance of body armor and reduce the risk of human injury. Conclusion The research results show that the air gap between the human body and the body armor provides additional buffer space, allowing the body armor to have more space and time to absorb energy when faced with bullet impact. The bulletproof material can absorb and disperse the impact force more effectively, greatly improving the protective effect of the body armor and reducing the kinetic energy transferred to the human body, thereby reducing the risk of blunt injury. Therefore, the larger the gap, the higher the strain energy absorbed by the body armor, the longer the peak occurs, and the smaller the damage to the human body. It is recommended to consider adding appropriate gaps in the design of body armor to improve practical protection effects. This study also provides a better perspective and scientific basis for designing other protective equipment. Further studies could explore varied materials and real-world testing to validate simulation results and refine protective clothing design. © 2025, China Textile Engineering Society. All rights reserved.","2025","2026-05-15 01:54:25","2026-05-15 01:54:25","","187 - 196","","4","46","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZI489CE","journalArticle","2026","Giguère, Sabrina; Potvin, Stéphane; Fortier, Alexandra; Phraxayavong, Kingsada; Lespérance, François; Do, André; Bahremand, Arash; Dumais, Alexandre","Virtual reality-based Avatar Therapy for treatment-resistant major depressive disorder: A pilot study","Psychiatry Research","","","10.1016/j.psychres.2026.117080","https://www.scopus.com/pages/publications/105033036981?origin=resultslist","Background: Major depressive disorder (MDD) is a common and disabling mental health condition, with a substantial proportion of patients failing to achieve symptom relief through standard pharmacological or psychotherapeutic treatments. Treatment-resistant depression (TRD), therefore, remains a significant clinical and public health challenge. To address this, our team developed Avatar Therapy, a virtual reality–based intervention with strong experiential and relational components. This pilot clinical trial aimed to evaluate the short-term efficacy of Avatar Therapy for TRD on 12 participants. Methods: During therapy sessions, participants engaged in dialogue in virtual reality with an avatar representing a person who played a significant role in their depressive symptoms. The avatar was animated in real-time by the therapist. The primary outcomes were the rates of response and remission, along with depressive symptom severity. Secondary outcomes were severity of anxiety symptoms, self-esteem, quality of life, and functioning. Changes in these outcomes between the pre- and post-therapy assessment periods were analyzed using linear mixed-effects models. Results: Among completers, the response rate was 80%, and the remission rate was 20%. At post-therapy, results showed a significant large reduction in depressive symptoms as measured both by self-report (d=1.48, p<0.001) and clinician-rated assessments (d=1.36, p<0.001). Moreover, large significant improvements were observed in the severity of anxiety (d=1.27, p<0.001), self-esteem (d=1.11, p=0.003), quality of life (d=1.42, p<0.001), and functioning (d=1.21, p=0.003). Conclusion: This unique psychotherapy shows promising preliminary results for treating individuals with TRD. Future trials should assess efficacity in larger controlled samples and its long-term out. © 2026 The Author(s)","2026","2026-05-15 01:54:25","2026-05-15 01:54:25","","","","","360","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Hybrid Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZC2AQ4MT","book","2025","Walter, Michael","The Player's Immersive Experience (PIE) model: Framing the multidimensional concept of immersion in VR video games","","","","10.1108/978-1-83549-376-220251008","https://www.scopus.com/pages/publications/86000557743?origin=resultslist","Immersion is a primary objective in video game gameplay, utilising tropes and techniques from cinema, music, art, literature and ludology. VR video games are capable of enhancing immersion, offering a life-like sense of scale, embodiment, agency and presence. As VR becomes more accessible, these immersive capabilities demand a new framework to understand the multifaceted nature of immersion in VR. The Player's Immersive Experience (PIE) model addresses this need by accounting for the multidimensional experience of immersion in VR video games. This model expands on previous frameworks like Ermi and Ma yra 's sensory, challenge-based and imaginative immersion (SCI) model and Calleja's Player Involvement Model, introducing eight dimensions: sensory, bodily, game feel, affective and empathetic, world-building, narrative, ludological and social immersive strategies. These dimensions, experienced collectively but not necessarily equally, provide a comprehensive understanding of how VR games immerse players. The chapter illustrates these strategies with examples from Blade & Sorcery, Boneworks and Half-Life: Alyx, which each illustrate a range of unique possibilities and contributions of VR to the gaming experience. By framing the immersive experience through the PIE model, this chapter offers a foundational framework for future studies on immersion in VR video games. © 2025 Michael Walter. All rights reserved.","2025","2026-05-15 01:54:25","2026-05-15 01:54:25","","","43 - 56","","","","","","","","","","","","","","","","","","","Publication Title: Virtual Reality Gaming: Perspectives on Immersion, Embodiment and Presence Type: Book chapter","<p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92TDSZRQ","journalArticle","2025","Anton, Jacqueline; Abrahamson, Dor","Walking the number line: towards an enactive understanding of integer arithmetic","Instructional Science","","","10.1007/s11251-025-09707-w","https://www.scopus.com/pages/publications/86000333093?origin=resultslist","Early mathematics education presents middle-school students with the challenge of adding and subtracting negative integers. This paper reports on results from the experimental implementation of a proposed educational design for integer arithmetic that utilized the number-line (NL) form as a resource for students to enact simple addition and subtraction problems under two conditions: (1) a body-scale floor-based NL, where arithmetic operations are enacted by walking; and (2) a regular desk-based NL supplemented with an action-figure for re-enacting the floor-based solutions. This design is the first iteration of a design-based research project and was developed based on the experience of the first author’s five years teaching in this topic. 15 Grade 7 students participated in the project’s pilot study that centered on how students coordinate procedurally analogous calculation activities across the large and small NL. The activity elicited students’ implicit confusions surrounding integer subtraction, thus creating opportunities for corrective intervention. Analyses also generated operative inferences shaping the subsequent design iteration. Implications are drawn more broadly for enactive mathematics pedagogy, particularly through the lens of comparing students’ egocentric orientations toward immersive instantiations of cultural–historical mathematical forms to their allocentric perceptual orientations toward the normative forms of the same concepts. As Extended Reality (XR, e.g. virtual reality, augmented reality) experiences enter mathematics classrooms, it may become vital to develop pedagogical methodologies in support of coordinating conceptually complementary perceptual perspectives. © The Author(s) 2025.","2025","2026-05-15 01:54:26","2026-05-15 01:54:26","","657 - 677","","4","53","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Green Open Access; Hybrid Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSNJVHF8","journalArticle","2026","Pang, Zhengyuan; Leung, Verina H.; Wang, Cailynn C.; Attarpour, Ahmadreza; Rinaldi, Anthony; Shen, Hanbing; Moya-Garzon, Maria Dolores; Sigua, Logan H.; Rammel, Claire; Selke, Alexandra; Glynn, Christopher; Yender, Melaina; Xu, Senhan; Moslehi, Javid J.; Wu, Peng; Long, Jonathan Z.; Goubran, Maged; Cravatt, Benjamin F.; Ye, Li","Mapping cellular targets of covalent cancer drugs in the entire mammalian body","Cell","","","10.1016/j.cell.2025.11.030","https://www.scopus.com/pages/publications/105025414885?origin=resultslist","As our understanding of biological systems reaches single-cell and high spatial resolutions, it becomes imperative that pharmacological approaches match this precision to understand drug actions. This need is particularly urgent for the targeted covalent inhibitors that are currently re-entering the stage for cancer treatments. By leveraging the unique kinetics of click reactions, we developed volumetric clearing-assisted tissue click chemistry (vCATCH) to enable deep and homogeneous click labeling across the three-dimensional (3D) mammalian body. With simple and passive incubation steps, vCATCH offers cellular-resolution drug imaging in the entire adult mouse. We combined vCATCH with hydrogel-based reinforcement of three-dimensional imaging solvent-cleared organs (HYBRiD) imaging and virtual reality to visualize and quantify in vivo targets of two clinical cancer drugs, afatinib and ibrutinib, which recapitulated their known pharmacological distribution and revealed previously unreported tissue and cell-type engagement potentially linked to off-target effects. vCATCH provides a body-wide, unbiased platform to map covalent drug engagements at unprecedented scale and precision. © 2025 The Authors.","2026","2026-05-15 01:54:26","2026-05-15 01:54:26","","725 - 738.e15","","3","189","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 4; All Open Access; Green Open Access; Hybrid Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETLMH5ED","journalArticle","2025","Giller, Michał; Kowal, Tomasz; Likus, Wirginia; Brzęk, Anna","Pokémon GO, Went, Gone…—Physical Activity Level, Health Behaviours, and Mental Well-Being of Game Users: A Cross-Sectional Study","Healthcare (Switzerland)","","","10.3390/healthcare13182334","https://www.scopus.com/pages/publications/105017395958?origin=resultslist","Background/Objectives: Pokémon GO has had a substantial global impact, emerging as one of the most prominent smartphone game releases of the 21st century. Beyond its entertainment value, this game has the potential to encourage physical activity alongside recreational engagement. Consequently, it may facilitate the integration of augmented reality into daily routines within the context of advancing mobile device technology. This study aimed to assess the impact of Pokémon GO on users’ physical activity levels, as well as to identify other implicit health outcomes and potential risks. Methods: A cross-sectional study was conducted using the International Physical Activity Questionnaire (IPAQ-long form) and a custom-designed survey (including demographic characteristics) administered to a cohort of 243 Pokémon GO players (112 females and 131 males, mean age 27 ± 7 years). Results: According to IPAQ-long form data, 68% of Pokémon GO users demonstrated high physical activity levels, 29% moderate, and 2.5% insufficient activity. More than 80% of participants reported increased walking distances, and 39% indicated that playing the game had improved their overall mood, while 13% reported enhanced social interactions. However, some findings are concerning, with 27% of respondents admitting to sacrificing sleep, 20% considering themselves addicted, and more than half exceeding the World Health Organization (WHO) screen time guidelines based solely on the time spent playing Pokémon GO. Conclusions: Pokémon GO has a positive impact on users’ physical activity levels, particularly in terms of low-intensity physical activities such as walking. This observational study suggests that the application may be associated with a healthy lifestyle and enhanced interpersonal contact. Prudent and safe usage is advised, as the game has the potential to be addictive and may pose risks when misused. © 2025 by the authors.","2025","2026-05-15 01:54:26","2026-05-15 01:54:26","","","","18","13","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 1; All Open Access; Gold Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY352C99","journalArticle","2025","Ziat, Mounia; Jhunjhunwala, Rishi; Gharat, Adwait; Deshpande, Yo; Raisamo, Roope","Levitation experience in virtual reality","Virtual Reality","","","10.1007/s10055-025-01138-9","https://www.scopus.com/pages/publications/105002908574?origin=resultslist","We investigated the effects of combining VR-guided meditation with out-of-body experiences, such as levitation, on embodiment and mindfulness practices. Participants engaged in a self-view (video feedback) meditation session followed by a levitation phase in a VR environment. We observed a significant increase in participants’ EDA responses during the levitation phase. The results were influenced by several factors, including the duration of the meditation, the length of the levitation phase, and participants’ subjective experiences. Participants who reported higher scores on the physical levitation scale exhibited an open and curious attitude, accepting the experience without becoming overly absorbed. In contrast, individuals with the capacity to observe and distance themselves from their feelings, emotions, and experiences were less inclined to report a virtual levitation experience. © The Author(s) 2025.","2025","2026-05-15 01:54:26","2026-05-15 01:54:26","","","","2","29","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 1; All Open Access; Gold Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENJFFT3H","journalArticle","2026","Zorlular, Rabia; Akinci, Murat; Elbasan, Bulent","Effects of focus of attention on gait parameters and balance performance in children with unilateral cerebral palsy: a randomized controlled trial","Disability and Rehabilitation","","","10.1080/09638288.2025.2548412","https://www.scopus.com/pages/publications/105013785795?origin=resultslist","Purpose: This randomized controlled trial examined the effects of a treatment program based on external focus of attention (EFA) and internal focus of attention (IFA) on spatiotemporal gait parameters and balance performance in children with unilateral cerebral palsy (uCP). Methods: Twenty-four children with uCP, aged 6–12 years, were randomly assigned to EFA (n = 12) or IFA (n = 12) groups. Both groups received the same balance and gait exercises for six weeks, differing only in attentional focus instructions. Assessments included the C-Mill VR+ gait system, Single-Leg Stance Test, Pediatric Balance Scale (PBS), and Trunk Control Measurement Scale. Results: After the intervention, the EFA group showed significantly greater improvements in cadence (+15.8 steps/min), affected limb stance phase (+4,17%), and PBS scores (+5 points) compared to the IFA group. Cadence and PBS changes suggest clinical relevance, though the stance phase increase may reflect compensation rather than functional improvement. Conclusion: Both attentional focus and gait and balance parameters improved. EFA-based training was more effective than IFA in improving some parameters of gait and balance. These findings suggest that externally focused instructions can enhance motor learning in children with uCP, though further research is warranted to assess the clinical relevance of smaller differences. Clinical trials: https://clinicaltrials.gov/study/NCT06170814. © 2025 Informa UK Limited, trading as Taylor & Francis Group.","2026","2026-05-15 01:54:26","2026-05-15 01:54:26","","829 - 841","","3","48","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
