"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BYNBV8MR","journalArticle","2024","Wang, Xuetong; Wang, Ziyan; Zhang, Mingmin; Yu, Kangyou; Hui, Pan; Fan, Mingming","Avatar Appearance and Behavior of Potential Harassers Affect Users' Perceptions and Response Strategies in Social Virtual Reality (VR): A Mixed-Methods Study","Proceedings of the ACM on Human-Computer Interaction","","","10.1145/3686934","https://dl.acm.org/doi/10.1145/3686934","Sexual harassment has been recognized as a significant social issue. In recent years, the emergence of harassment in social virtual reality (VR) has become an important and urgent research topic. We employed a mixed-methods approach by conducting online surveys with VR users ( N = 166) and semi-structured interviews with social VR users ( N = 18) to investigate how users perceive sexual harassment in social VR, focusing on the influence of avatar appearance. Moreover, we derived users' response strategies to sexual harassment and gained insights on platform regulation. This study contributes to the research on sexual harassment in social VR by examining the moderating effect of avatar appearance on user perception of sexual harassment and uncovering the underlying reasons behind response strategies. Moreover, it presents novel prospects and challenges in platform design and regulation domains.","2024","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","journal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWXIUK86","journalArticle","2023","Manju, T.; Magesh; Padmavathi, S.; Durairaj","Increasing the Social Interaction of Autism Child using Virtual Reality Intervention (VRI)","ACM Transactions on Asian and Low-Resource Language Information Processing","","","10.1145/3592855","https://dl.acm.org/doi/10.1145/3592855","Nowadays there is an increase in number of autisms, a neuro-developmental disorder across the world. The level of autism varies with the symptoms such as inattention, interaction, social communication, repetitive behaviors, irritability and the like. Early recovery of a child from autism is necessary to live in a normal socio-communicable life. To measure the inattention of the autism child by enhancing the visual perception through virtual environment. The proposed Virtual Reality Intervention (VRI) enhances visual perception, learning, and social interaction. The proposed method observes the attention level of the autism child through eye tracking or eye movements who interacts with virtual world using eye tracking methodology. As eye tracking is the major component to measure the reduced looking time of objects and subjects which considered being the earliest signs of autism spectrum disorder (ASD). For observing the attention of kids during testing, Eye movements and gestures plays a major role. Using head position and eye pupil direction, attention has been analyzed. Quantitative and Qualitative findings conclude that the inattention of autism child can gradually be reduced by iterating the virtual therapy through eye ball tracking technique. Qualitative finding is done using Aberrant Behavior Checklist (ABC) and quantitative using eye-pupil and head position. Autism affected children can easily recovered from this inattention symptom by continuous iterations on virtu...","2023","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","journal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7PKCQQUF","journalArticle","2022","Adiani, Deeksha; Itzkovitz, Aaron; Bian, Dayi; Katz, Harrison; Breen, Michael; Hunt, Spencer; Swanson, Amy; Vogus, Timothy J.; Wade, Joshua; Sarkar, Nilanjan","Career Interview Readiness in Virtual Reality (CIRVR): A Platform for Simulated Interview Training for Autistic Individuals and Their Employers","ACM Transactions on Accessible Computing","","","10.1145/3505560","https://dl.acm.org/doi/10.1145/3505560","Employment outcomes for autistic 1 individuals are often poorer relative to their neurotypical (NT) peers, resulting in a greater need for other forms of financial and social support. While a great deal of work has focused on developing interventions for autistic children, relatively less attention has been paid to directly addressing the employment challenges faced by autistic adults. One key impediment to autistic individuals securing employment is the job interview. Autistic individuals often experience anxiety in interview situations, particularly with open-ended questions and unexpected interruptions. They also exhibit atypical gaze patterns that may be perceived as, but not necessarily indicative of, disinterest or inattention. In response, we developed a closed-loop adaptive virtual reality (VR)–based job interview training platform, which we have named Career Interview Readiness in VR (CIRVR). CIRVR is designed to provide an engaging, adaptive, and individualized experience to practice and refine interviewing skills in a less anxiety-inducing virtual context. CIRVR contains a real-time physiology-based stress detection module, as well as a real-time gaze detection module, to permit individualized adaptation. We also present the first prototype of the CIRVR Dashboard, which provides visualizations of data to help autistic individuals as well as potential employers and job coaches make sense of the data gathered fro...","2022","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","journal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9XH6D69","journalArticle","2006","Riecke, Bernhard E.; Schulte-Pelkum, Jörg; Avraamides, Marios N.; Heyde, Markus Von Der; Bülthoff, Heinrich H.","Cognitive factors can influence self-motion perception (vection) in virtual reality","ACM Transactions on Applied Perception","","","10.1145/1166087.1166091","https://dl.acm.org/doi/10.1145/1166087.1166091","Research on self-motion perception and simulation has traditionally focused on the contribution of physical stimulus properties (“bottom-up factors”) using abstract stimuli. Here, we demonstrate that cognitive (“top-down”) mechanisms like ecological relevance and presence evoked by a virtual environment can also enhance visually induced self-motion illusions (vection). In two experiments, naive observers were asked to rate presence and the onset, intensity, and convincingness of circular vection induced by different rotating visual stimuli presented on a curved projection screen (FOV: 54° × 45°). Globally consistent stimuli depicting a natural 3D scene proved more effective in inducing vection and presence than inconsistent (scrambled) or unnatural (upside-down) stimuli with similar physical stimulus properties. Correlation analyses suggest a direct relationship between spatial presence and vection. We propose that the coherent pictorial depth cues and the spatial reference frame evoked by the naturalistic environment increased the believability of the visual stimulus, such that it was more easily accepted as a stable “scene” with respect to which visual motion is more likely to be judged as self-motion than object motion. This work extends our understanding of mechanisms underlying self-motion perception and might thus help to improve the effectiveness and believability of virtual reality applications.","2006","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","journal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9BJ38MTZ","journalArticle","2018","Zhao, Huan; Zheng, Zhaobo; Swanson, Amy; Weitlauf, Amy; Warren, Zachary; Sarkar, Nilanjan","Design of a Haptic-Gripper Virtual Reality System (Hg) for Analyzing Fine Motor Behaviors in Children with Autism","ACM Transactions on Accessible Computing","","","10.1145/3231938","https://dl.acm.org/doi/10.1145/3231938","Fine motor skills, including grasping, manipulating, and reaching for objects, are a documented weakness for many children with Autism Spectrum Disorders (ASD). However, relatively less research has attempted to address these motor deficits, especially by taking advantage of advanced technology. To explore potential mechanisms for expanding accessibility to fine motor intervention for people with ASD, we present the design and implementation of a feasibility study of a novel Haptic-Gripper Virtual Reality System (Hg). Hg is capable of providing analysis and practice opportunities of fine motor skills in an adaptive and low-cost virtual environment with real-time auditory, visual, and haptic feedback. The Haptic Gripper in Hg can detect a user's grip force and hand location and provide haptic feedback to guide hand movement and grip control while completing several simple and engaging virtual fine motor tasks. We conducted a feasibility study with six children with ASD and six typically developing (TD) children and found that participants were interested in using the Haptic Gripper and could quickly get used to the system. Although the results are preliminary and limited, we observed medium to strong correlations between the proposed fine motor skill metrics and the scores achieved with a standardized fine motor skill test and improvements of participants in accuracy and steadiness of movement and force control. This study provides important guidance for future investigatio...","2018","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","journal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANVRCQPD","conferencePaper","2015","Otmane, Samir","Session details: New uses of VR, AR, MR (NU) &amp; ReVolution: Kiddy Dream in Virtual Reality","Proceedings of the 2015 Virtual Reality International Conference","","","10.1145/3254060","https://dl.acm.org/doi/10.1145/3254060","","2015","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","conference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF4ZK8S2","conferencePaper","2025","Aw, Joey; Chen, Xiaoyang; Ma, Yuehan; Song, Mengfei; Ng, Javier; Anand, Bhojan","FlowZone: Real-Time Pose-Tracking Virtual Reality(VR) Yoga and Mindfulness Meditation","Proceedings of the 2025 31st ACM Symposium on Virtual Reality Software and Technology","","","10.1145/3756884.3770544","https://dl.acm.org/doi/10.1145/3756884.3770544","","2025","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","conference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V9GXXPC","conferencePaper","2020","Olade, Ilesanmi; Liang, Hai-Ning; Fleming, Charles; Champion, Christopher","Exploring the Vulnerabilities and Advantages of SWIPE or Pattern authentication in Virtual Reality (VR)","Proceedings of the 2020 4th International Conference on Virtual and Augmented Reality Simulations","","","10.1145/3385378.3385385","https://dl.acm.org/doi/10.1145/3385378.3385385","","2020","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","conference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HM2ZXZXV","conferencePaper","2024","Wang, Lianyou; Wang, Liyan","Application of virtual reality (VR) and augmented reality (AR) in teaching","Proceedings of the 2024 International Symposium on Artificial Intelligence for Education","","","10.1145/3700297.3700320","https://dl.acm.org/doi/10.1145/3700297.3700320","","2024","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","conference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBSLK34M","conferencePaper","2025","Ghoneim, Maha; Ashry, Moustafa","Exploring Augmented Reality (AR), Virtual Reality (VR), and Tangible User Interfaces (TUI) Research in Africa","Proceedings of the Fifth Biennial African Human-Computer Interaction Conference","","","10.1145/3757232.3757331","https://dl.acm.org/doi/10.1145/3757232.3757331","","2025","2026-05-15 05:38:23","2026-05-15 05:38:23","","","","","","","","","","","","","","","","","","","","","","","<p>Source: ACM Digital Library</p>","","","conference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
