Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
L9YSI2LA,conferencePaper,2025,"Nova, Arnaldo Barreto Vila; Vidal, Creto Augusto; Cavalcante-Neto, Joaquim B.; de Oliveira Carneiro, Lílian",Regionality marks for facial conformation modeling,2025 27th symposium on virtual and augmented reality (SVR),,2833-0609,10.1109/SVR67689.2025.00030,,"Accurate representation and manipulation of human facial geometry present critical challenges in computer graphics, biometrics, medical imaging and virtual reality applications. This study introduces a novel facial conformation modeling technique that leverages linear anthropometric measurements and geodesic distance-based regionality marks to achieve anatomically precise and scalable deformations. By defining individualized influence zones for craniofacial landmarks, the method minimizes interference between facial regions and enhances morphological variability. The expanded parameter set, comprising 34 measurements around 30 landmarks, enables detailed and intuitive facial modeling. Applications in virtual reality include personalized avatar generation, clinical facial analysis, and identity verification systems. Visual results demonstrate the method’s ability to adapt to diverse facial anatomies, ensuring realistic and customizable facial models for immersive environments.",2025-09,2026-08-10 12:59:44,2026-08-10 12:59:44,,149-155,,,,,,,,,,,,,,,,,,,,,,,,Adaptation models; Anatomy; Character generation; Deformation; face anthropometry; Faces; Facial conformation; Interference; Level measurement; regionality marks; Scalability; Solid modeling; Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJPG98EE,journalArticle,1970,"Geselowitz, D.",On the magnetic field generated outside an inhomogeneous volume conductor by internal current sources,IEEE Transactions on Magnetics,,1941-0069,10.1109/TMAG.1970.1066765,,"The magnetocardiogram results from the detection of magnetic fields generated outside the body by electric current sources in the heart. Let the source current dipole moment per unit volume be Ji, the conductivityg, the electric potentialV, and the electric field intensityE. Then it may be shown that the magnetic fieldHis given by eitherH = (1/4π) ∫J^i ×𝛻(1/r) dv + ∑_i ∫(g' - g"")(E ×dS_i/r), orH = (1/4π) ∫J^i ×𝛻(1/r) dv + ∑_i ∫(g' - g"")V𝛻(1/r) ×dS_i, where the surface integral is over all surfaces Siseparating regions of different conductivity, i.e.,g' andg"", andris the distance from the point of measurement to the element of volume or surface. The magnetic dipole momentmis given bym = ½ ∫r_1 ×J^idv - ½ ∑_i ∫(g'-g"")Vr_1 ×dS_i, where r1is a radius vector from an arbitrary origin.",1970-06,2026-08-10 12:59:45,2026-08-10 12:59:45,,346-347,,2,6,,,,,,,,,,,,,,,,,,,,,Conductivity measurement; Conductors; Current; Electric potential; Heart; Magnetic fields; Magnetic moments; Magnetic separation; Nonuniform electric fields; Volume measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535HWEP,conferencePaper,2010,"Onodera, Hiroshi; Yamaguchi, Takeshi; Yamanouchi, Hiroteru; Nagamori, Kazumasa; Yano, Masaru; Hirata, Yasuhisa; Hokkirigawa, Kazuo",Analysis of the slip-related falls and fall prevention with an intelligent shoe system,2010 3rd IEEE RAS & EMBS international conference on biomedical robotics and biomechatronics,,2155-1782,10.1109/BIOROB.2010.5628030,,"We studied a relationship between a zero moment point (ZMP) and a base of support (BOS) during slipping. ZMP is the point on the ground where no moment may be transmitted about the whole body center of mass (COM). When subjects could walk without slipping, ZMP was located within the BOS at a single support phase. When a fall after a forward slip was observed, the ZMP remained outside of the BOS edge. The maximum distance between the ZMP and the BOS edge (Lmax) was longer in the fall group than in the recovery group (p ¡ 0.001). The maximum velocity of the slipping foot segment relative to the torso segment (vr max) had a positive correlation with Lmax. An intelligent shoe system, which can extend the shoe sole area (BOS) laterally, improved both static standing balance and dynamic standing balance. Thus, appropriate coefficient of sliding friction on the shoe sole and intelligent control of the shoe sole area would be of value in reducing the risk of falling, particularly for the people with movement disorders.",2010-09,2026-08-10 12:59:45,2026-08-10 12:59:45,,616-620,,,,,,,,,,,,,,,,,,,,,,,,Artificial intelligence; Foot; Footwear; Force; Legged locomotion; Sensors; Torso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZCU9BK6,conferencePaper,2017,"Sangjun, Thichakorn; Aierpaiboon, Surapan; Pintavirooj, C.",New observing robot for elder,2017 10th biomedical engineering international conference (BMEiCON),,,10.1109/BMEiCON.2017.8229162,,This new observing robot is a robot attached with auto focus webcam camera at front side of its body which is controlled by user from a far distance and designed to be used in indoor environment. The robot is designed by using designed android application on android device with Visual Reality (VR) to control movement of camera and using joystick for the direction of robot. Both controllers transfer each position values pass through PubNub developer console and debugger to robot's operator which is Raspberry Pi 2 Module B. The objectives of this study are to produce the prototype observing robot which is controlled by using Android application and to create an internet connectable robot for the user or doctor to observe elder or patient in difference location.,2017-08,2026-08-10 12:59:45,2026-08-10 12:59:45,,1-4,,,,,,,,,,,,,,,,,,,,,,,,Cameras; designed application; IP networks; observing robot; Pubnub console; Raspberry Pi; Robot kinematics; Robot vision systems; Servers; Visual Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ3Z4P3H,conferencePaper,2015,"Lofaro, Daniel M.; Bula, Martyna; Early, Patrick; Eide, Eric; Javid, Mannan",ARCHR — apparatus for remote control of humanoid robots,2015 IEEE-RAS 15th international conference on humanoid robots (humanoids),,,10.1109/HUMANOIDS.2015.7363540,,"The Apparatus for Remote Control of Humanoid Robots (ARCHR) is an intuitive teleoperation system for high degree of freedom robots with haptic feedback. The purpose of this system is to allow minimally trained individuals to control a complex robot to complete a dexterous task. For example if it is a biohazard handling task then we want a biohazard handling expert operating the robot. However it should not be required that the biohazard handling expert also be a trained robot handler. The robot should be controlled intuitively and give good situational awareness. This is especially important in situations requiring first responders. The ARCHR system uses scaled kinematics of the target robot to incorporate the humans inherent intuitive understanding of joint motion. This setup also allows for hardware self collision detection. A scaled stereoscopic video feed in conjunction with a binocular virtual reality system immures the user into the body of the robot. This immersion is scale independent. Finally haptic feedback is used to extend the immersion to the tactile space. Three ARCHR controllers were created for three distinct humanoid robots, the DRC-Hubo, Baxter, and MiniBot. Each of these robots range from full-size to infant-size. Public testing was done using 30 untrained users on each platform. The results showed that the system does achieve the goal of creating an intuitive and immersive teleoperation system for high degree of freedom robots.",2015-11,2026-08-10 12:59:45,2026-08-10 12:59:45,,229-236,,,,,,,,,,,,,,,,,,,,,,,,Collision avoidance; Haptic interfaces; Humanoid robots; Mobile robots; Robot kinematics; Robot sensing systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC2ZDF5C,conferencePaper,2020,"Hashmi, Nauman Zafar; Irtaza, Aun; Ahmed, Wakeel; Nida, Nudrat",An augmented reality based Virtual dressing room using Haarcascades Classifier,2020 14th international conference on open source systems and technologies (ICOSST),,,10.1109/ICOSST51357.2020.9333032,,"Virtual dressing rooms are modern way of shopping where customers experience realistic dress fitting and order online. As trying different dresses at shopping centers is very time consuming and customers are not sure how the dress looks on them. Therefore, there is a need to identify efficient methods to improve virtual dressing rooms and increase e-commerce businesses. All the existing virtual dressing room methods required Kinect sensors for virtual dress fitting and Kinect sensors are expensive. Our motivation is to create such virtual dressing room that overcome the constraint of Kinect sensor input. We present a dynamic virtual dressing room based on web cam to acquire input video and allow user to experience virtual dress fitting. Our proposed model comprised of following steps including face, skin, lower body detection and dynamic distance estimation for precise virtual reality. We have evaluated our algorithm on 50 subjects using 10 dresses.",2020-12,2026-08-10 12:59:45,2026-08-10 12:59:45,,1-6,,,,,,,,,,,,,,,,,,,,,,,,Augmented Reality; E-commerce; Faces; Fitting; Image Processing; Real-time systems; Sensors; Skin; Solid modeling; Virtual Dressing room; Virtual Reality; Webcams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVFHFUJC,conferencePaper,2013,"Yi, Haisheng",Interactive motion recovery of chinese kung-fu for computer games,2013 international conference on computer sciences and applications,,,10.1109/CSA.2013.101,,"As a kind of Chinese culture, Chinese Kung-fu has been very popular in movies and TV programs and attracted the interest of people all over the world. The paper address the problem to recover Chinese Kung-fu from video sequence for further use in computer games. Human motion capture for animation and VR has reached a level of capturing real motion data from people using various visual and non-visual sensors. However, most of the available systems require special devices and environment, or even attach extra things onto an actor. To realize a personal system, this paper developed a general software to acquire arbitrary motion from a video sequence. A general 3D articulate human model with changeable size, color and surface shape is prepared. This model is then driven either automatically or manually to match with the moving body in the consecutive image frames. This matching starts from key frames that contain key poses. A specific orientation interpolation is used to get the motion status in in-between frames and finally a smooth motion is obtained. This approach is suitable for personal use to meet wide needs of human motion acquisition.",2013-12,2026-08-10 12:59:45,2026-08-10 12:59:45,,402-405,,,,,,,,,,,,,,,,,,,,,,,,Biological system modeling; Chinese Kung-fu; Computer Games; Computers; Human motion capture; Interpolation; Key Frames; Quaternions; Solid modeling; Three-dimensional displays; Video sequences; Video Sequences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGEBNEQ,conferencePaper,2016,"Xue, Jing; Lee, Hoi",12.5 a 2mhz 12-to-100V 90,2016 IEEE international solid-state circuits conference (ISSCC),,2376-8606,10.1109/ISSCC.2016.7417989,,"Wide input rails (12V to 100V) are common in today's automotive and industrial systems. Miniaturized DC-DC voltage regulators (VRs), which can provide a low-voltage regulated output from a wide input range and deliver a few Watts, are essential in these systems. Wide-input-range integrated VRs, however have difficulty to simultaneously achieve high frequency (HF) operation and high power efficiency. Previous hard-switching (HS) high-input-voltage (HV) buck regulators can only operate at a low frequency of 100s of kHz in order to limit the dominant switching power loss PSW, that occurs at the converter switching node [1,2]. Low-frequency operation however results in using bulky inductors of 100s of µH, significantly increasing the bill-of-material cost and the converter volume. Three-level converters (TLCs) are effective to reduce the required inductance by doubling the frequency at the switching node and allow using lower-voltage-rating power transistors in HV conditions. However, the concern of large PSW in HV conditions would still limit the HS TLC converter to operate in the MHz range. Moreover, the TLC needs the voltage across its flying capacitor to be balanced at half the input voltage; otherwise power transistors could be damaged during operation. In HF HV conditions, the capability of high-speed flying-capacitor self-balancing is even more crucial, but it is not addressed in prior 3-level DC-DC regulators [3,4]. This paper reports a ZVS-based 3-level voltage regulator (TL-VR) to remove PSW in HF and HV conditions, thereby improving the converter power efficiency. A constant-frequency adaptive-on-time (CF-AOT) V2 control is developed to offer the flying-capacitor self-balancing in the MHz range, ensuring reliable regulator operation with a wide input range. A body-diode-based floating ZVS detection is also proposed to provide nanosecond-scale ZVS turn-on delay and thus enable full-ZVS operation in HF low-duty-ratio conditions.",2016-01,2026-08-10 12:59:45,2026-08-10 12:59:45,,226-227,,,,,,,,,,,,,,,,,,,,,,,,Capacitors; Delays; Inductors; Regulators; Switches; Voltage control; Zero voltage switching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAHWKQM3,conferencePaper,2018,"Feigl, Tobias; Mutschler, Christopher; Philippsen, Michael",Head-to-body-pose classification in no-pose VR tracking systems,2018 IEEE conference on virtual reality and 3D user interfaces (VR),,,10.1109/VR.2018.8446495,,Pose tracking does not yet reliably work in large-scale interactive multi-user VR. Our novel head orientation estimation combines a single inertial sensor located at the user's head with inaccurate positional tracking. We exploit that users tend to walk in their viewing direction and classify head and body motion to estimate heading drift. This enables low-cost long-time stable head orientation. We evaluate our method and show that we sustain immersion.,2018-03,2026-08-10 12:59:45,2026-08-10 12:59:45,,1-2,,,,,,,,,,,,,,,,,,,,,,,,Computing methodologies [Supervised learning by classification] Human-centered computing [Virtual reality]; Estimation; Feature extraction; Head; head tracking; immersion; inertial sensor fusion; large-scale; Legged locomotion; machine learning; Magnetic heads; motion sickness; Reliability; Tracking; VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJKG55P,journalArticle,2019,"Zhao, Tianhao; Li, Songnan; Ngan, King Ngi; Wu, Fanzi",3-D reconstruction of human body shape from a single commodity depth camera,IEEE Transactions on Multimedia,,1941-0077,10.1109/TMM.2018.2844087,,"3-D human body reconstruction is an important research topic in computer vision. A 3-D human body model can be used in sports science, movie industry and personalized entertainment, especially virtual reality games. Most of depth-based 3-D reconstruction algorithms need multiple cameras surrounding the user and require the user to keep a specific pose strictly while capturing depth images. In this paper, we propose an algorithm to reconstruct the 3-D shape of human bodies using a single commodity depth camera. Our algorithm only needs two depth images of the front-facing and back-facing bodies. It also has strong operability since the proposed method is insensitive to the pose variations between the two depth images. We reconstruct 3-D shapes of front-facing and back-facing bodies from the two depth images, respectively, and stitch them together. We also propose a novel registration method, namely, “iterative mid-distance points,” which has fast convergence and robustness to the depth noise. The proposed method enables robust and easy-to-use human body reconstruction, and achieves higher accuracy than state-of-the-art methods.",2019-01,2026-08-10 12:59:45,2026-08-10 12:59:45,,114-123,,1,21,,,,,,,,,,,,,,,,,,,,,Biological system modeling; Cameras; depth camera; Human body shape; human pose estimation; Image reconstruction; model fitting; PCA shape space; Principal component analysis; Shape; Solid modeling; Three-dimensional displays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
