ID,Section,Status,ThesisRef,Authors,Year,Title,Venue,VenueType,DOI_or_URL,InterventionModality,EvaluationTarget,TheoreticalBasis,Role_in_Survey,Priority,SearchScope
1,I. 理論的前提,既存,[1],"Gallagher, Shaun",2005,How the Body Shapes the Mind,Oxford University Press,Book,10.1093/0199271941.001.0001,N/A,N/A,Theory,身体イメージ／身体図式の二重構造。階層的解離の議論の出発点,必須,background
2,I. 理論的前提,既存,[2],"Tsakiris, Manos",2010,My body in the brain: a neurocognitive model of body-ownership,Experimental Brain Research 197(1) 703-712,Journal,10.1007/s00221-009-2079-8,N/A,Self-scale,Bottom-up & Top-down,トップダウン／ボトムアップ照合モデル,必須,background
3,I. 理論的前提,既存,[3],"Kilteni, Konstantina; Groten, Raphaela; Slater, Mel",2012,The Sense of Embodiment in Virtual Reality,Presence: Teleoperators and Virtual Environments 21(4) 373-387,Journal,10.1162/PRES_a_00124,N/A,Self-scale,Theory,SoO/SoA/Self-location の三要素定義。用語定義の典拠,必須,in-scope
4,II. 身体に基づくスケーリング,既存,[5],"van der Hoort, Björn; Guterstam, Arvid; Ehrsson, H. Henrik",2011,Being Barbie: The Size of One's Own Body Determines the Perceived Size of the World,PLoS ONE 6(5) e20195,Journal,10.1371/journal.pone.0020195,Visual-Global,World-scale,Bottom-up,分野の起点。body-based scaling の原典,必須,in-scope
5,II. 身体に基づくスケーリング,新規,―,"Linkenauger, Sally A.; Leyrer, Markus; Bülthoff, Heinrich H.; Mohler, Betty J.",2013,Welcome to Wonderland: The Influence of the Size and Shape of a Virtual Hand On the Perceived Size and Shape of Virtual Objects,PLoS ONE 8(7) e68594,Journal,10.1371/journal.pone.0068594,Visual-Local,World-scale,Bottom-up,効果が自己の手に特異的で他者アバタ・親近サイズ物体では生じないことを示す。自己vs環境の帰属問題に直結,必須,in-scope
6,II. 身体に基づくスケーリング,既存,[6],"Banakou, Domna; Groten, Raphaela; Slater, Mel",2013,Illusory ownership of a virtual child body causes overestimation of object sizes and implicit self-identification with child-like attributes,PNAS 110(31) 12846-12851,Journal,10.1073/pnas.1306779110,Visual-Global,World-scale,Bottom-up & Top-down,身体化強度とスケーリング効果の連動,必須,in-scope
7,II. 身体に基づくスケーリング,既存,[10],"Ogawa, Nami; Narumi, Takuji; Hirose, Michitaka",2017,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,Proc. 8th Augmented Human International Conference (AH),Conference,10.1145/3041164.3041204,Visual-Local,Ambiguous/Mixed,MSI,VE では手が大きく物体が小さく知覚される歪みを報告,推奨,in-scope
8,III. 視覚要因の内訳,既存,[8],"Leyrer, Markus; Linkenauger, Sally A.; Bülthoff, Heinrich H.; Kloos, Uwe; Mohler, Betty J.",2011,The influence of eye height and avatars on egocentric distance estimates in immersive virtual environments,Proc. ACM SIGGRAPH Symposium on Applied Perception (SAP) 67-74,Conference,10.1145/2077451.2077464,Visual-Perspective,World-scale,Bottom-up,眼高とアバタの分離,必須,in-scope
9,III. 視覚要因の内訳,既存,[9],"Wolf, Erik; Merdanovic, Enes; Kroll, Philipp; Latoschik, Marc Erich; Wienrich, Carolin",2020,The effects of eye height and self-avatars on distance estimation in virtual reality: A replication study,Frontiers in Virtual Reality 1:588701,Journal,10.3389/frvir.2020.588701,Visual-Perspective,World-scale,Bottom-up,Leyrer らの追試。眼高優位の確認,推奨,in-scope
10,III. 視覚要因の内訳,新規,―,"Kim, Jangyoon; Interrante, Victoria",2017,Dwarf or Giant: The Influence of Interpupillary Distance and Eye Height on Size Perception in Virtual Environments,Proc. ICAT-EGVE 2017 153-160,Conference,10.2312/egve.20171356,Visual-Perspective,World-scale,Bottom-up,眼高とIPDを分離した系統的研究。IPD固定という実験設計の正当化に必要,必須,in-scope
