Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Matched_Venue,Ranking_Source,CORE_Rank,SJR_Quartile,Excl_Reason_Phase2
S2BWQZUT,journalArticle,2012,"Kilteni, Konstantina; Groten, Raphaela; Slater, Mel",The sense of embodiment in virtual reality,Presence,,1054-7460,10.1162/PRES_a_00124,,"What does it feel like to own, to control, and to be inside a body? The multidimensional nature of this experience together with the continuous presence of one's biological body, render both theoretical and experimental approaches problematic. Nevertheless, exploitation of immersive virtual reality has allowed a reframing of this question to whether it is possible to experience the same sensations towards a virtual body inside an immersive virtual environment as toward the biological body, and if so, to what extent. The current paper addresses these issues by referring to the Sense of Embodiment (SoE). Due to the conceptual confusion around this sense, we provide a working definition which states that SoE consists of three subcomponents: the sense of self-location, the sense of agency, and the sense of body ownership. Under this proposed structure, measures and experimental manipulations reported in the literature are reviewed and related challenges are outlined. Finally, future experimental studies are proposed to overcome those challenges, toward deepening the concept of SoE and enhancing it in virtual applications.",2012-11,2025-12-25 01:55:45,2025-12-25 04:22:30,,373-387,,4,21,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Kilteni-et-al-2012-348fa7e7d32f81c7ace0e12aaa72dafc,notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual International Workshop on Presence,CORE,C,,CORE Rank 'C' < A
XBUQK47L,journalArticle,2009,"Boulic, Ronan; Maupu, Damien; Thalmann, Daniel",On scaling strategies for the full-body postural control of virtual mannequins,Interacting with Computers,,1873-7951,10.1016/j.intcom.2008.10.002,,"Due to its intrinsic complexity, full-body postural input has been mostly limited to off-line motion capture and to on-line puppetry of a virtual character with little interaction with its environment (e.g. floor). The motion capture technology is now mature enough to envision the on-line full-body postural control of virtual mannequins involved in precise reaching tasks. We have investigated such tasks for mannequins of differing body heights in comparison to that of the system user. Such broad-range avatar control is relevant for virtual prototyping in various industrial sectors as a single person is responsible for evaluating a virtual prototype for a full range of potential end-users. In the present paper we report on two scaling strategies that can be enforced in such a context of height-differing avatar control. Both scaling strategies have been evaluated in a wide-range reach study both in front of a stationary immersive display and with an HMD. A comparison is also made with a baseline scenario, which exploits a simple rigid shape (i.e. a proxy), to assess the specific influence of controlling a complex articulated avatar.",2009-01,2025-12-25 01:55:45,2025-12-25 04:30:31,,11-25,,1-2,21,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Boulic-et-al-2009-348fa7e7d32f81aa9b53c1d5a4f5f9f8,HMD; inverse kinematics; notion; field of view; baseline/avatar-control; egocentric strategy with scaled immersive display and egocentric reaching; FOV; free-space/obstructed; head mounted display; IK; reference strategy with immersive display at scale 1/1 and egocentric reaching; Strategy A; Strategy B; Strategy C; the controlled entity factor has two levels; the reach difficulty factor has two levels; visuocentric strategy with immersive display at scale 1/1 and scaled sensor data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interacting with Computers,SJR,,Q2,SJR Quartile 'Q2' is not Q1
4AZAWJ6Q,conferencePaper,2023,"Wang, Fang; Murrell, Scottie; Winter, Virginia Ramseyer; Sielert, Charles",Development and testing of a real time virtual reality body avatar creation and body appreciation experience for young adults,2023 IEEE international conference on advanced learning technologies (ICALT),,2161-377X,10.1109/ICALT58122.2023.00085,,"Body image has a profound impact on overall wellbeing and quality of life. In this paper, we presented a pilot study of a virtual reality program of a real time 3D body avatar creation and appreciation experience. We present a method that allows participants to alter an avatar with different body shapes, skin tones and hair in real time until they believe it looks like them, then paint parts of the avatar that they appreciate for various reasons. Through a pre and post survey, we have found the average learning outcome measures for the VR group showed a more promising trend increase in testing scores compared to the control workshop group. However, the body appreciation scale measured in both the VR experience and the workshop group showed a very limited improvement after one session and requires further research in the area. Majority of the participants feel positive about the VR experience. The real time 3D avatar alternation method presented has the potential to be used for player embodiment, body appreciation and body image education to improve body image.",2023-07,2025-12-25 01:55:46,2025-12-25 04:44:10,,271-273,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Wang-et-al-2023-348fa7e7d32f81608be4cee0edaa14b0,Virtual Reality; notion; Avatars; Body Image; 3D Avatar; Conferences; Three-dimensional displays; Shape; Atmospheric measurements; Particle measurements; Body Appreciation; Real-time systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE International Conference on Advanced Learning Technologies,CORE,B,,CORE Rank 'B' < A
BEYS43S9,conferencePaper,2017,"Burgh, Ben; Johnsen, Kyle",Effects of tracking scale on user performance in virtual reality games,2017 IEEE 3rd workshop on everyday virtual reality (WEVR),,,10.1109/WEVR.2017.7957712,,"We explore how scaling a user's tracking data may impact performance in an immersive virtual reality game, which may have implications for fairness and accessibility of many applications. In our study, which used an HTC Vive room-scale VR system, users play the role of a factory worker who must remove deformed bread from a production line. Users were scaled to a reference height, such that taller than average users were rendered shorter and had shorter reach and shorter than average users were rendered taller and had longer reach than normal. Users also performed with unscaled tracking data. Our analysis indicates that there was no systematic advantage of being taller or shorter than normal, and scaling users may have had a detrimental effect. Moreover, scale changes were noticed by many users who had conflicting preferences for various application-specific reasons, indicating that application strategy can be affected by scale. Results suggest that while virtual reality tracking data may be scaled to compensate for user differences in physical height or reach, care must be taken to ensure that performance will benefit.",2017-03,2025-12-25 01:55:46,2025-12-25 04:42:48,,1-4,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Burgh-Johnsen-2017-33efa7e7d32f8163a1e6dde462b66c6c,Virtual Reality; notion; Virtual environments; User Study; Ergonomics; Atmospheric measurements; Particle measurements; Belts; Correlation; Games; Immersion; Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
IDVI363B,conferencePaper,2021,"Cui, Tianyi; Yang, Yu; Guo, Yunhai",Evaluation of height and speed effects on the comfort of VR motion picture display,2021 international conference on culture-oriented science & technology (ICCST),,,10.1109/ICCST53801.2021.00095,,"Virtual Reality (VR) technology has become ever more popular with consumers in recent years. However, dizziness brought by VR greatly affects its experience, especially VR motion sickness. Therefore, the industry needs in order to study how to improve the comfort of VR motion pictures. The subject conducts subjective evaluation experiments through the constructed virtual 3D scene. The relationship between the height and speed of the VR camera, as well as the gender of the audience and VR motion sickness, is considered by subjective evaluation experiments. Viewer’s VR motion sickness is the least obvious when the viewer is close to the height and average pace, and women are more likely to be dizzy to VR than men, which are proved by experimental results.",2021-11,2025-12-25 01:55:46,2025-12-25 04:40:54,,426-430,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Cui-et-al-2021-33efa7e7d32f81369d51e5a96e39e97f,virtual reality; Virtual reality; notion; Three-dimensional displays; Cameras; Industries; Motion pictures; motion sickness; subjective evaluation; unity 3D; Videos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
LPFFNXLT,conferencePaper,2017,"Tan, Xiaohui; Peng, Xiaoyu; Liu, Liwen; Xia, Qing",Automatic human body feature extraction and size measurement by random forest regression analysis of geodesics distance,2017 international conference on virtual reality and visualization (ICVRV),,2375-141X,10.1109/ICVRV.2017.00060,,"It is a pervasive problem to obtain the human body size without contacting for apparel application. In this paper, a new approach is proposed which can be applied to calculate human body size such as shoulder width, bust, hips and waist girth with single depth camera. First, single depth camera as the 3D model acquisition device was used to get the 3D human body model. Then an automatic extraction method of focal features on 3D human body via random forest regression analysis of geodesics distance is used to extract the predefined feature points and lines. Finally, the individual human body size is calculated according to the feature points and lines. The method is an automatic data-driven way. The scale-invariant heat kernel signature is exploited to serve as feature proximity. So it is insensitive to postures and different shapes of 3D human body. These main advantages of our method lead to a robust and accurate feature extraction technique and size measurement for 3D human bodies in various postures and shapes. The experiment results show that the average relative error of feature points extraction is 0.0617 cm. The average relative errors of shoulder width and girth are 1.332 cm and 0.7635 cm, respectively. Overall, the algorithm has a better detection effect for 3D human body size, and it is stable with better robustness.",2017-10,2025-12-25 01:55:46,2025-12-25 04:47:12,,261-266,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Tan-et-al-2017-348fa7e7d32f81169875d45258637a46,notion; Training; Three-dimensional displays; Shape; Biological system modeling; Clothing; Feature extraction; feature points extraction; geodesic distance; heat kernel; Heating systems; size measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
8XNUFS65,conferencePaper,2023,"Sobota, M.; Kolencik, F.; Stuchlíková, L.; Weis, M.",Importance and implementation of virtual reality for organic photovoltaic educational purposes,2023 21st international conference on emerging eLearning technologies and applications (ICETA),,,10.1109/ICETA61311.2023.10343640,,"This paper addresses the need for learning for students, which can be a motivational problem. Still, interactivity, i.e., ""learning by doing,"" can tremendously decrease the psychological distance from learning a subject. Another challenge nowadays is the need for increasing interest in technical areas such as material engineering. With this, we developed a virtual reality game, ""Organic Electronics,"" as an example for university students and secondary school children. A virtual environment is incredibly convenient for this generation of students. The game presents an attractive environment for teaching organic photovoltaic concepts and serves as a platform for upgrades and other discipline areas.",2023-10,2025-12-25 01:55:46,2025-12-25 04:35:28,,479-484,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Sobota-et-al-2023-348fa7e7d32f8106b5fbe02415d3536a,Virtual reality; interaction; notion; immersion; Virtual environments; Three-dimensional displays; Games; Education; Electric potential; imagination; organic photovoltaic; Photovoltaic systems; psychological distance; psychological embodiment; Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
F9NTQPSE,conferencePaper,2022,"Tychkov, Alexander Yu.; Bofanova, Natalia S.; Alimuradov, Alan K.; Chernyshov, Denis S.; Miltykh, Ilia","Development of ""city of the futureʺ scene to assess the user experience in a virtual reality environment",2022 6th scientific school dynamics of complex networks and their applications (DCNA),,2770-744X,10.1109/DCNA56428.2022.9923144,,"Virtual reality is rapidly becoming a key method in digital medicine. It is a prospective area of research. The detailed examination of users and its impact on patients is required to introduce virtual reality in medicine. A detailed examination of virtual reality users, followed by an assessment of virtual reality effects, is required for wide adaptation of this technology. The virtual reality of 12 healthy subjects was examined. For this study, we used the custom-designed VR scene “City of the Future”. An HTC Vive Pro headset was used for VR immersion. A physical examination and neurological examination were performed using the State-Trait Anxiety Inventory, Visual analog scale, and Simulator Sickness Questionnaire. All subjects were divided into two groups based on the SSQ score. Group 1, with no or slight side effects, accounted for 58.3",2022-09,2025-12-25 01:55:46,2025-12-25 04:44:08,,282-285,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Tychkov-et-al-2022-348fa7e7d32f81ca81cae42efd5f88c1,virtual reality; Virtual reality; notion; Visualization; User experience; Anxiety disorders; Complex networks; digital space; Headphones; phobic anxiety disorders; Urban areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
BNE9AB6U,conferencePaper,2023,"Kini, Vishwas G; C, Siddalingaswamy P; Ganeshrao, Shonraj Ballae",Distance validation and role of high fidelity VR environments on embodiment and enjoyment,2023 international conference on computational intelligence and knowledge economy (ICCIKE),,,10.1109/ICCIKE58312.2023.10131855,,"Gamification, especially in Virtual Reality (VR) have been gaining importance lately for which there arises a need in understanding the interaction mechanism as to which would lead to engagement and motivation. To assess this, our work uses a virtual hand representation to embody the user in three different VR environment of varying interaction fidelity. Through both qualitative and quantitative data gathered, we assess the users’ perceived sense of embodiment, engagement, and motivation. Results show that hand tracking interactions increase the sense of body ownership but lacks tracking reliability and haptic feedback. The virtual controller representation showcased better sense of agency and faster learning towards interactions. The sense of embodiment, engagement and motivation was found to be the highest in the high-fidelity VR environment.As a sub part of this work, we also showcase how distances can be measured in virtual environments especially in the stereoscopic Head Mounted Displays (HMD), VR. The virtual environment measured distances is then compared with the premeasured real-world distance for which the high correlation is observed.",2023-03,2025-12-25 01:55:46,2025-12-25 04:43:29,,215-220,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Kini-et-al-2023-348fa7e7d32f81eea08efc25e2b1d9fc,Virtual Reality; Sense of embodiment; notion; Virtual environments; Haptic interfaces; Resists; Correlation; Computational intelligence; Distance Measurement; Embodied cognition; Fidelity; Hand tracking; Interaction modalities; Passthrough; Reliability; Spatial tracking; Stereo image processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
DJX3HZR2,conferencePaper,2025,"Lee, Jeongmin; Chen, Yuetong; Gillies, Marco; Pan, Xueni",The effect of child and adult avatars on spatial perception in urban-scale virtual environment,2025 IEEE international conference on artificial intelligence and eXtended and virtual reality (AIxVR),,2771-7453,10.1109/AIxVR63409.2025.00012,,"Spatial perception varies significantly between large-scale environments and smaller, object- or room-scale settings. Individuals process and interpret space differently depending on its scale, using their own bodies as reference points. In order to study spatial cognition as it applies to urban environments, it is vital to study it at a suitable scale and in people navigating those environments. Virtual Reality (VR) provides a way to study our spatial cognition in realistic, large-scale urban environments that participants are able to navigate freely. This paper presents a methodology for studying spatial cognition of large-scale virtual urban environments, including three novel tasks that address spatial memory (memory of landmarks and navigation paths) and preferences for urban features (deleting or adding features). This study applies this methodology to investigate the differences in spatial perception, memory, and layout preferences between people embodied in child and adult avatars. This is an interesting problem, as it opens up the possibility of allowing adults to understand how children experience urban environments differently. Using Virtual Reality, participants experienced an urban-scale environment while embodied in either a child or an adult in a full-body avatar and then undertook our spatial memory and preference tasks. The study showed no difference in the memory tasks, though the participants in child avatars deleted more features. This suggests that there is no evidence that embodiment as a child affects spatial cognition but that it might allow participants to detect more problems with an environment.",2025-01,2025-12-25 01:55:46,2025-12-25 04:23:32,,19-26,,,,,,,,,,,,,,,,,,,,,,,notion://www.notion.so/Lee-et-al-2025-33efa7e7d32f81da9b78c407ee06ae0c,embodiment; spatial perception; virtual avatar; notion; Navigation; Virtual environments; Avatars; Artificial intelligence; body size; Cognition; Layout; Spatial cognition; spatial memory; Urban planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venue not found in CORE or SJR
