Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Source_DB,Filter_Layer,Filter_Layer_Reason,Matched_Venue,Ranking_Source,CORE_Rank,SJR_Quartile,KW_Excl_Category,KW_Excl_Keywords
X6UVF49L,conferencePaper,2019,"Ahuja, Karan; Harrison, Chris; Goel, Mayank; Xiao, Robert",MeCap: Whole-Body Digitization for Low-Cost VR/AR Headsets,Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology,,,10.1145/3332165.3347889,https://dl.acm.org/doi/10.1145/3332165.3347889,,2019,2026-05-15 05:38:48,2026-05-15 05:38:48,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM Symposium on User Interface Software and Technology,CORE,A*,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\bar\b
EWJLE9EN,conferencePaper,2023,"Manfredi, Gilda; Erra, Ugo; Gilio, Gabriele",A Mixed Reality Approach for Innovative Pair Programming Education with a Conversational AI Virtual Avatar,Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,,,10.1145/3593434.3593952,https://dl.acm.org/doi/10.1145/3593434.3593952,,2023,2026-05-15 05:38:58,2026-05-15 05:38:58,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),International Conference on Evaluation and Assessment in Software Engineering,CORE,A,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\bmixed reality\b
HGZZKKN8,conferencePaper,2025,"Metwaly, Mohammed; Quinn, Alexander J.",360 Video Viewing with Virtual Reality Headsets: Connecting User Head Movements to Intentions,Proceedings of the 16th ACM Multimedia Systems Conference,,,10.1145/3712676.3714433,https://dl.acm.org/doi/10.1145/3712676.3714433,,2025,2026-05-15 05:39:56,2026-05-15 05:39:56,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM Multimedia Systems Conference,CORE,A,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\b360[- ]?(?:degree[s]?\s+)?video\b
WP7S8QIA,journalArticle,1993,"Shaw, Chris; Green, Mark; Liang, Jiandong; Sun, Yunqi",Decoupled simulation in virtual reality with the MR toolkit,ACM Transactions on Information Systems,,1046-8188,10.1145/159161.173948,https://dl.acm.org/doi/10.1145/159161.173948,,1993,2026-05-15 05:40:02,2026-05-15 05:40:02,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM Transactions on Information Systems,SJR,,Q1,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\bmr\b
5FLY7MEW,conferencePaper,2005,"Ferreira, Pedro Miguel F. M.",Network middleware for large scale mobile and pervasive augmented reality games,Proceedings of the 2005 ACM conference on Emerging network experiment and technology - CoNEXT'05,,,10.1145/1095921.1095961,https://dl.acm.org/doi/10.1145/1095921.1095961,,2005,2026-05-15 05:40:04,2026-05-15 05:40:04,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM International Conference on Emerging Networking Experiments and Technologies,CORE,A,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\baugmented reality\b
KPHWTE6S,conferencePaper,2021,"Dürr, Maximilian; Schweitzer, Daniel; Reiterer, Harald",ViTT: Towards a Virtual Reality System that Supports the Learning of Ergonomic Patient Transfers,Adjunct Proceedings of the 34th Annual ACM Symposium on User Interface Software and Technology,,,10.1145/3474349.3480234,https://dl.acm.org/doi/10.1145/3474349.3480234,,2021,2026-05-15 05:40:13,2026-05-15 05:40:13,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM Symposium on User Interface Software and Technology,CORE,A*,,Cat3 [Clinical / Medical],Cat3 [Clinical / Medical]::\bpatient[s]?\b
AXQW6DJT,conferencePaper,2023,"Tsai, Yi-Zhen; Luo, James; Wang, Yunshu; Chen, Jiasi",The World is Too Big to Download: 3D Model Retrieval for World-Scale Augmented Reality,Proceedings of the 14th ACM Multimedia Systems Conference,,,10.1145/3587819.3590970,https://dl.acm.org/doi/10.1145/3587819.3590970,,2023,2026-05-15 05:40:21,2026-05-15 05:40:21,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM Multimedia Systems Conference,CORE,A,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\baugmented reality\b
DB3FFB9Q,conferencePaper,2025,"Tsimbalistaia, Uliana; Berger, Caroline; Gellersen, Hans; Manakhov, Pavel",On-body Icons: Designing a 3D Interface for Launching Apps in Augmented Reality,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,,10.1145/3706598.3713954,https://dl.acm.org/doi/10.1145/3706598.3713954,,2025,2026-05-15 05:40:28,2026-05-15 05:40:28,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),International Conference on Human Factors in Computing Systems,CORE(alias),A*,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\baugmented reality\b
TRBRZRRR,conferencePaper,2024,"Chen, John; Zhao, Lexie; Li, Yinmiao; Xie, Zhennian; Wilensky, Uri; Horn, Mike",“Oh My God! It’s Recreating Our Room!” Understanding Children’s Experiences with A Room-Scale Augmented Reality Authoring Toolkit,Proceedings of the CHI Conference on Human Factors in Computing Systems,,,10.1145/3613904.3642043,https://dl.acm.org/doi/10.1145/3613904.3642043,,2024,2026-05-15 05:40:35,2026-05-15 05:40:35,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),International Conference on Human Factors in Computing Systems,CORE(alias),A*,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\baugmented reality\b
TDWHD56J,conferencePaper,2022,"Wei, Xiemin; Zheng, Zixia; Shi, Hongning; Chai, Yaqing; Li, Jiajia",Little Garden: An augmented reality game for older adults to promote body movement,Adjunct Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology,,,10.1145/3526114.3558731,https://dl.acm.org/doi/10.1145/3526114.3558731,,2022,2026-05-15 05:40:44,2026-05-15 05:40:44,,,,,,,,,,,,,,,,,,,,,,,<p>Source: ACM Digital Library</p>,,,conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM,hold,要旨なしのため判定不能(フェイルセーフで保留),ACM Symposium on User Interface Software and Technology,CORE,A*,,Cat1 [Not VR / Out of Scope],Cat1 [Not VR / Out of Scope]::\baugmented reality\b
