Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
Presence,Presence: Teleoperators and Virtual Environments,SJR Q3,SJR 2025目視確認(2026-07-17)・著者確認待ち,旧処理はCORE『Annual International Workshop on Presence』(C)への正規化同名衝突で誤照合(29件)。エイリアスで正規化した上でQ3=ランク基準により除外(照合漏れ除外と区別すること)
Presence: Teleoperators and Virtual Environments,Presence: Teleoperators and Virtual Environments,SJR Q3,SJR 2025目視確認(2026-07-17),既にexact照合されるが同名衝突防止のため明示(8件)
Proceedings - APGV 2011: ACM SIGGRAPH Symposium on Applied Perception in Graphics and Visualization,ACM Symposium on Applied Perception,CORE B,CORE 2023目視確認(2026-07-17)・著者確認待ち,SAP(旧APGV)。エイリアス正規化後もCORE B=ランク基準により除外
ACM SIGGRAPH Symposium on Applied Perception in Graphics and Visualization,ACM Symposium on Applied Perception,CORE B,同上,APGV年号なし変種
Symposium on Applied Perception in Graphics and Visualization,ACM Symposium on Applied Perception,CORE B,同上,APGV変種
ACM Symposium on Applied Perception,ACM Symposium on Applied Perception,CORE B,同上,SAP現名称
Proceedings - MIG 2020: 13th ACM SIGGRAPH Conference on Motion Interaction and Games,ACM SIGGRAPH Conference on Motion Interaction and Games,CORE C,CORE 2023目視確認(2026-07-17)・著者確認待ち,MIG。エイリアス正規化後もCORE C=ランク基準により除外
ACM SIGGRAPH Conference on Motion Interaction and Games,ACM SIGGRAPH Conference on Motion Interaction and Games,CORE C,同上,MIG年号なし変種
Motion Interaction and Games,ACM SIGGRAPH Conference on Motion Interaction and Games,CORE C,同上,MIG短縮変種
ACM International Conference Proceeding Series,(コンテナ名・単一会議に正規化不能),MANUAL,著者判断待ち,ICPSは複数会議の器(46件)。ISBN/Extra列から個別に会議名を復元して判定する必要あり。現状は未照合のまま除外(理由コードで区別済み)
IEEE Conference on Virtual Reality and 3D User Interfaces,IEEE Conference on Virtual Reality and 3D User Interfaces,CORE A*,CORE 2023目視確認(2026-07-17),IEEE VR。現行でもexact/acronym照合されるが同名衝突防止のため明示
IEEE Virtual Reality Conference,IEEE Conference on Virtual Reality and 3D User Interfaces,CORE A*,同上,旧称(IEEE VR 2018以前)
IEEE/ACM International Symposium on Mixed and Augmented Reality,IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE A*,CORE 2023目視確認(2026-07-17),ISMAR。現行はacronym段階で照合(11ユニーク/51件)→exactに昇格
ACM Symposium on Virtual Reality Software and Technology,ACM Virtual Reality Software and Technology,CORE B,CORE 2023目視確認(2026-07-17)・著者確認待ち,VRST。現行はfuzzy照合(125件)→exactに昇格。CORE B=ランク基準により除外
Proceedings of the ACM Symposium on Virtual Reality Software and Technology,ACM Virtual Reality Software and Technology,CORE B,同上,VRST変種
CHI Conference on Human Factors in Computing Systems,International Conference on Human Factors in Computing Systems,CORE A*,CORE 2023目視確認(2026-07-17),CHI本会議。※Extended Abstracts変種は意図的にエイリアスしない(フルペーパーでないため未照合除外を維持し本文で明記)
Proceedings of the CHI Conference on Human Factors in Computing Systems,International Conference on Human Factors in Computing Systems,CORE A*,同上,CHI変種
Frontiers in Virtual Reality,Frontiers in Virtual Reality,SJR Q1,SJR 2025目視確認(2026-07-17),Rev.6の再検索・supplementary sourceで流入予定の分。SJR Q1=採用
ACM Transactions on Applied Perception,ACM Transactions on Applied Perception,SJR Q2,SJR 2025目視確認(2026-07-17)・著者確認待ち,TAP誌(49件)。旧処理はSAPシンポジウムとの正規化同名衝突でCORE B誤照合。正しくはSJR Q2=ランク基準により除外
Sensors,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sensors': [SJR:norm_title] Sensors International | [SJR:norm_title] Sensors | [SJR:norm_title] Journal of Sensors / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ19件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm ieee human robot interaction': [CORE:norm_title] ACM/IEEE International Conference on Human-Robot Interaction | [SJR:norm_title] ACM/IEEE International Conference on Human-Robot Interaction / ranks: CORE A* | SJR - / データ11件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
IEEE Transactions on Multimedia,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee multimedia': [CORE:norm_title] IEEE International Symposium on Multimedia | [SJR:norm_title] IEEE Transactions on Multimedia | [SJR:norm_title] IEEE Multimedia / ranks: CORE C | SJR Q1 | SJR Q1 / データ10件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Neurology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neurology': [SJR:norm_title] Neurology | [SJR:norm_title] Journal of Neurology | [SJR:norm_title] Neurology International / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ9件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Biomechanics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biomechanics': [SJR:norm_title] Journal of Biomechanics | [SJR:norm_title] Biomechanics (Switzerland) | [SJR:norm_title] International Biomechanics / ranks: SJR Q1 | SJR Q3 | SJR Q3 / データ8件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Personalized Medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'personalized medicine': [SJR:norm_title] Journal of Personalized Medicine | [SJR:norm_title] Personalized Medicine / ranks: SJR Q1 | SJR Q3 / データ7件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Psychological Research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'psychological research': [SJR:norm_title] Psychological Research | [SJR:norm_title] International Journal of Psychological Research / ranks: SJR Q1 | SJR Q3 / データ6件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
IEEE Transactions on Image Processing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee image processing': [CORE:norm_title] IEEE International Conference on Image Processing | [SJR:norm_title] IEEE Transactions on Image Processing / ranks: CORE B | SJR Q1 / データ5件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Movement Disorders,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'movement disorders': [SJR:norm_title] Movement Disorders | [SJR:norm_title] Journal of Movement Disorders / ranks: SJR Q1 | SJR Q2 / データ5件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Computers and Education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'computers education': [CORE:norm_title] International Conference on Computers in Education | [SJR:norm_title] Computers and Education | [SJR:norm_title] Journal of Computers in Education / ranks: CORE C | SJR Q1 | SJR Q1 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
